0,1,2,3,4
Ordinance  Number,Adoption  Date,Section,Section  this Code,
,4-3-1991,,16-400,
,,,16-401,
,,,16-402,
,,,16-403,
,,,16-404,
,,,16-405,
,,,16-406,
,,,16-407,
,,,16-408,
,,,16-409,
,,,16-410,
,,,16-411,
,,,16-412,
,,,16-413,
,,,16-414,
,,,16-415,
,,,16-416,
,,,16-417,
,,,16-418,
,,,16-419,
,,,16-420,
,,,16-421,
,,,16-422,
,,,16-423,
,,,16-424,
,4-17-1991,,12-101,
,,,12-104,
,,,12-105,
,,,12-107,
,,,12-108,
,7-7-1992,,7-210,
,9-15-1993,,10-109,
,5-4-1994,,10-111,
94-4(12),8-3-1994,,4-210,
,,,4-211,
,,,4-212,
,,,4-213,
,,,4-214,
,,,4-215,
,,,4-216,
,,,4-217,
,,,4-218,
,,,4-219,
,,,4-220,
94-11(9),8-3-1994,,8-602,
94-8(10),8-3-1994,,15-800,
,,,15-805,
94-4(2),8-17-1994,,4-225,
,,,4-226,
94-8(2),11-2-1994,,15-600,
,,,15-601,
,,,15-603,
94-8(4),11-2-1994,,15-106,
94-10.1(1),12-7-1994,,2-502,
94-3(1),12-7-1994,,12-207,
,,,12-208,
94-4(3),12-7-1994,,4-225,
,,,4-226,
95-4(1),1-4-1995,,4-225,
,,,4-226,
95-6(1),1-11-1995,,2-100,
,,,2-101,
,,,2-102,
,,,2-103,
,,,2-104,
,,,2-105,
,,,2-106,
95-20(1),3-15-1995,,"Ch. 18, 10.2.2",
95-3(1),4-5-1995,,12-208,
95-9(1),5-3-1995,,6-310,
95-2(1),6-14-1995,,2-202,
95-4(2),9-6-1995,,4-225,
,,,4-226,
95-8(2),10-4-1995,,15-101,
,,,15-103,
,,,15-104,
,,,15-108,
95-20(3),10-11-1995,,"Ch. 18, 10.2.2",
,,,"Ch. 18, 5.1.47",
95-20(4),10-11-1995,,"Ch. 18, 5.1.47",
95-20(5),11-15-1995,,"Ch. 18, 10.2.1",
,,,"Ch. 18, 10.2.2",
96-3(1),8-7-1996,,12-207,
,,,12-208,
96-11(1),11-13-1996,,8-100,
,,,8-101,
,,,8-102,
,,,8-103,
,,,8-208,
,,,8-300,
,,,8-301,
,,,8-302,
,,,8-303,
,,,8-304,
,,,8-400,
,,,8-401,
,,,8-402,
,,,8-403,
,,,8-404,
,,,8-500,
,,,8-501,
,,,8-600,
,,,8-601,
,,,8-602,
,,,8-603,
,,,8-700,
,,,8-701,
,,,8-702,
,,,8-703,
,,,8-704,
,,,8-705,
,,,8-706,
,,,8-707,
,,,8-708,
,,,8-709,
,,,8-710,
,,,8-711,
,,,8-712,
,,,8-713,
,,,8-714,
,,,8-715,
,,,8-800,
96-8(2),12-11-1996,,15-709,
,,,15-711,
97-9(1),1-8-1997,,6-310,
,,,6-311,
97-1(1),2-12-1997,,1-303,
97-11(1),5-7-1997,,8-403,
,,,8-404,
,,,8-711,
97-12(1),5-21-1997,,9-100,
,,,9-106,
,,,9-108,
,,,9-111,
97-12(2),7-9-1997,,9-104,
,,,9-108,
98-20(1),4-1-1998,,"Ch. 18, 5.1.22",
98-8(2),6-10-1998,,15-900,
,,,15-902,
,,,15-903,
