Ordinance  Number,Date,Section,Section  this Code
1166,9- 9-97,,"App. A, § 2103"
1170,11-11-97,,"App. A, § 1182, App. A, § 1183"
,,,"App. A, § 3022"
,,,"App. A, § 3041"
,,,"App. A, § 3051"
,,,"App. A, § 3061"
,,,"App. A, § 3081"
,,,"App. A, § 3091"
,,,"App. A, § 3112"
,,,"App. A, § 3122"
,,,"App. A, § 3141"
,,,"App. A, § 3151"
,,,"App. A, § 3161"
,,,"App. A, § 3181"
,,,"App. A, § 3191"
,,,"App. A, § 3201"
,,,"App. A, § 4720"
1180,2- 9-98,,"App. A, § 2103"
1184,6- 9-98,,App. A
,,,"App. A, § 1109"
,,,"App. A, § 1127"
,,,"App. A, § 1150"
,,,"App. A, § 1184"
,,,"App. A, § 1210"
,,,"App. A, § 1213"
,,,"App. A, § 1231"
,,,"App. A, § 1233, App. A, § 1234"
,,,"App. A, § 1238"
,,,"App. A, § 1244"
,,,"App. A, § 2103"
,,,"App. A, § 3020, App. A, § 3021"
,,,"App. A, § 3023"
,,,"App. A, § 3030"
,,,"App. A, § 3052"
,,,"App. A, § 3062"
,,,"App. A, § 3081, App. A, § 3082"
,,,"App. A, § 3091, App. A, § 3092"
,,,"App. A, § 3113"
,,,"App. A, § 3123"
,,,"App. A, § 3143"
,,,"App. A, § 3152"
,,,"App. A, § 3161"
,,,"App. A, § 3201"
,,,"App. A, § 3231"
,,,"App. A, § 3241"
,,,"App. A, § 3263"
,,,"App. A, § 4220"
,,,"App. A, § 4241"
,,,"App. A, § 4512"
,,,"App. A, § 4703"
,,,"App. A, § 4719"
,,,"App. A, § 5100"
,,,"App. A, § 5130"
,,,"App. A, § 5202"
,,,"App. A, § 5204"
,,,"App. A, § 5331"
,,,"App. A, § 5427"
,,,"App. A, § 5429"
,,,"App. A, § 5523"
,,,"App. A, § 5770"
1188,11-10-98,1,"App. A, § 2103"
1199,11-10-98,1,22-222
,,2,22-224
1206,5-11-99,1  Rpld,"App. A, §§ 3300—3325"
,,2,"App. A, § 2103"
,,3  Added,"App. A, §§ 3270—3279"
1207,3- 9-99,1  Added,12-417
1210,4-27-99,3,22-200
,,10,"18-109(a), (b)"
,,11,18-201(b)
,,12,24-301(b)
,,13,24-306(a)
,,14,"18-400(a), (b)"
,,15,24-602(a)
,,16,22-800
1213,6- 8-99,1,23-102(a)(1)
1215,5-11-99,1  Added,"App. A, § 1110"
,,2,"App. A, § 1211"
,,3,"App. A, § 1231(a)"
,,4,"App. A, § 1238(b)"
,,5,"App. A, § 2103"
,,6,"App. A, § 3022"
,,7,"App. A, § 3023(c)"
,,8,"App. A, § 3041(a)"
,,9,"App. A, § 3042(b)"
,,10,"App. A, § 3051(a)"
,,11,"App. A, § 3052(a)(1)"
,,12,"App. A, § 3061(a)"
,,13,"App. A, § 3062(a)(1), (c)(2)"
,,14,"App. A, § 3081"
,,15,"App. A, § 3082(a)(1), (c)(2)"
,,16,"App. A, § 3091(a)"
,,17,"App. A, § 3092(a)(1), (c)(2)"
,,18,"App. A, § 3113(d)(6)"
,,19,"App. A, § 3141(b)"
,,20,"App. A, § 3143(e)"
,,21,"App. A, § 3151(a), (b)"
,,22,"App. A, § 3161(b)"
,,23,"App. A, § 3191(b)"
,,24,"App. A, § 3203(e)"
,,25,"App. A, § 3231"
,,26  Rnbd,"App. A, § 3235"
,,as,"App. A, § 3236"
,,Added,"App. A, § 3235"
,,27,"App. A, § 4328(a)(1)"
,,28,"App. A, § 4703"
,,Added,"App. A, § 4703(c)(3)"
,,29,"App. A, § 5120(b)"
,,30,"App. A, § 5201(a)"
,,31  Rpld,"App. A, § 5240(3)"
,,32,"App. A, § 5310(i)"
,,33,"App. A, § 5426(a)"
,,34,"App. A, §§ 4216(a)(4),"
,,,"4231(b)(6),"
,,,"4241(a)(2),"
,,,"4304(a)(2),"
,,,"4306(a)(1),"
,,,"4308(b)(3),"
,,,"4310(b)(2),"
,,,"4313(b)(2),"
,,,"4321(b)(2),"
,,,"4326(b)(2),"
,,,"4331(b)(3),"
,,,"4338(b)(2),"
,,,"4339(b)(3),"
,,,"4341(b)(5),"
,,,"4410(b)(5),"
,,,"4420(b)(7),"
,,,"4430(b)(2),"
,,,"4521(b)(10),"
,,,"4523(a)(1),"
,,,"4525(b)(10),"
,,,"4529(a)(1),"
,,,"4555(b)(12),"
,,,"4559(b)(11),"
,,,"4561(b)(12),"
,,,"4564(b)(11),"
,,,5221(1)
1217,12-14-99,2  Added,"App. B, §§ 1-100—7-106"
1219,6- 8-99,1,6-201(b)
,,2  Added,6-400—6-411
,,3  Added,24-107(5)
1225,8-10-99,1,"5-202(a), (c),"
,,Added,5-202(e)—(g)
,,2  Added,6-102
,,3,6-203
,,4  Added,6-500—6-505
,,5,11-101
,,6  Added,11-507
,,7,14-204
,,8  Added,14-301—14-309
,,9,16-304(a)
,,10,16-500(c)
,,11,16-501(c)
,,Added,16-501(d)
,,12,20-205(a)
,,13,21-115(f)
,,14  Added,21-116
,,15,22-112
1229,12-14-99,1  Added,22-231
1231,1-11-00,1,"App. A, § 5520(c)"
,,2  Added,"App. A, § 5525"
1235,4-25-00,12,"18-109(a), (b)"
,,13,18-201(b)
,,14,24-301(b)
,,15,"24-306(a), (b)"
,,16,"18-400(a), (b)"
,,17,24-602(a)
,,18,20-206
1238,5- 9-00,1,12-401
1242,6-13-00,1,12-309(a)
,,Added,"12-309(h), (i)"
1244,10- 2-00,1,1-113
,,2,2-306
,,3  Rpld,5-204(b)
,,,5-204(k)
,,4,6-203(a)
,,5,11-203(g)
,,6,"12-200(b), (c)"
,,7  Added,"12-400(a)(16), (17)"
,,8,14-107(a)
,,9  Added,14-108(a)
,,Rnbd,14-108(a)—(c)
,,as,14-108(b)—(d)
,,10,14-110
,,11,14-200
,,12,16-107(1)a.
,,Added,16-107(d)1.—3.
,,,16-107(2)
,,13,16-116(2)
,,14,"16-200(a), (b)"
,,15,"16-201(a),"
,,,16-201(c)(5)
,,17  Added,22-130(c)
,,18,24-310(a)
1245,7-11-00,1  Rpld,22-700—22-706
,,2  Added,22-700—22-707
1247,9-12-00,1  Added,"App. A, § 1111"
,,2,"App. A, § 1140(a)"
,,3,"App. A, § 1141"
,,4,"App. A, § 1233(a)(1), (2)"
,,5,"App. A, § 1236(a)"
,,6,"App. A, § 1238(b)"
,10 2-00,7  Added,"App. A, § 1241(b)"
,,Rnbd,"App. A, § 1241(b)—(d)"
,,as,"App. A, § 1241(c)—(e)"
,,8,"App. A, § 2103"
,,9,"App. A, § 3032(a), (d)"
,,10  Rpld,"App. A, § 3142(j)"
,,11,"App. A, § 3152(i)"
,,12,"App. A, § 3191(a)"
,,13,"App. A, § 4313(a)(1)"
,,Added,"App. A, § 4313(c)"
,,14  Rpld,"App. A, § 4328(b)(1)"
,,Rnbd,"App. A, § 4328(b)(2), (3)"
,,as,"App. A, § 4328(b)(1), (2)"
,,15,"App. A, § 4525(a)(1),"
,,,"App. A, § 4525(b)(6)"
,,16,"App. A, § 4559(a)(1)"
,,17  Added,"App. A, § 4720(a)"
,,Rnbd,"App. A, § 4720(a)—(c)"
,,as,"App. A, § 4720(b)—(d)"
,,18,"App. A, § 5100(a)"
,,19,"App. A, § 5130(f)(8)"
,,20,"App. A, § 5331(b)(2)"
,,21,"App. A, § 5425"
,,22  Rpld,"App. A, § 5502(6), (11), (14), (17)"
,,23  Added,"App. A, § 5504"
,,24,"App. A, § 5534(b)"
,,25,"App. A, § 5535(b)"
,,26,"App. A, § 5536(b)"
,,27  Rpld,"App. A, §§ 5560, 5561"
1250,9-12-00,1,24-606(a)
,,2,24-607
1253,10-10-00,1,22-100
,,2  Rpld,22-400(c)
,,3  Added,22-410
,,4  Added,22-411
1258,1- 9-01,1,"App. A, § 3022"
,,2  Added,"App. A, § 4306"
,,Rnbd,"App. A, §§ 4306—4309"
,,as,"App. A, §§ 4307—4309"
,,3,"App. A, § 4328(b)(2)a."
1230,2-13-01,1  Rpld,24-700—24-712
,,2  Added,24-700—24-713
,,3  Added,24-115(a)(10)
1264,3-13-01,1,21-201
,,2,21-202
1265,3-13-01,1,18-400
,,2,24-602
1266,3-13-01,1  Added,6-200(b)
1267,4-10-01,1  Rnbd,12-417
,,as,12-418
,,Added,12-417
1270,4-24-01,12,18-109
,,13,18-201(b)
,,14,24-301(b)
,,15,24-306
,,16,18-400(a)
,,Rpld,18-400(b)(1)
,,Rnbd,18-400(b)(2)
,,as,18-400(b)(1)
,,Rpld,18-400(b)(3)
,,Rnbd,18-400(b)(4)
,,as,18-400(b)(2)
1274,8-14-01,1  Rpld,4-409(b)(9)
,,Rnbd,4-409(b)(10)—(12)
,,as,4-409(b)(9)—(11)
,,2,10-205(3)
,,3,10-213(a)
,,4,12-112
,,5,14-201(b)
,,6,14-205
,,7,18-204
,,8,"18-503(3)(g), (s)"
,,9,21-614
,,10,21-626
,,11,24-11
,,12,24-601(a)
,,Rpld,24-601(b)
,,Rnbd,24-601(c)—(e)
,,as,24-601(b)—(d)
,,13  Added,24-602(d)
1278,11-13-01,1,"App. A, § 1200(a)"
,,2  Added,"App. A, § 1213"
,,Rnbd,"App. A, § 1213"
,,as,"App. A, § 1214"
,,3,"App. A, § 2103"
,,4,"App. A, § 3141(a), (b)"
,,5,"App. A, § 3151(a)"
,,6,"App. A, § 3161(a)"
,,7,"App. A, § 3181(a)"
,,8,"App. A, § 3182(f)"
,,9,"App. A, § 3191(a)"
,,10,"App. A, § 3201(a)"
,,11,"App. A, § 3211"
,,12  Added,"App. A, § 4241(d)"
,,13,"App. A, § 4527(a)(2)"
,,14,"App. A, § 5503(8)"
,,15,"App. A, § 5523(a), (e)"
,,16  Added,"App. A, § 5531(d)"
,,17,"App. B, § 5-307"
,,18  Rpld,"App. B, § 5-701(b)"
1281,10- 9-01,1,10-204(a)
,,Rpld,10-204(c)
,,2  Added,21-501(c)
1283,10- 9-01,1,13-101
,,2,13-102
,,3,"13-103(d), (h)"
,,Added,"13-103(m), (n)"
,,4,13-105(a)(8)
,,5,"13-106(a), (b)(7)"
,,6  Rpld,13-107
1286,11-13-01,1,"App. A, § 3191(b)"
1290,12-11-01,A,"App. A, § 3201(b)"
1293,1-22-02,1  Added,2-412
1306,6-11-02,1  Rpld,"20-100—20-102,"
,,,"20-200—20-214,"
,,,20-301—20-308
,,Added,"20-100—20-104,"
,,,"20-120, 20-121,"
,,,"20-130, 20-131,"
,,,"20-140—20-142,"
,,,"20-200—20-209,"
,,,"20-220, 20-221"
,,,20-400—20-404
1308,8-13-02,1  Added,"App. A, § 1150(a)(4)"
,,2,"App. A, § 1201(a)(2)"
,,3  Added,"App. A, § 1234(i)"
,,4,"App. A, § 2103"
,,5,"App. A, § 3022"
,,6,"App. A, § 3081(b)"
,,7,"App. A, § 3091(b)"
,,8  Rpld,"App. A, § 3152(i)"
,,Rnbd,"App. A, § 3152(j)—(l)"
,,as,"App. A, § 3152(i)—(k)"
,,9,"App. A, § 3201"
,,10,"App. A, § 3241"
,,11,"App. A, § 4241(d)(3)"
,,12  Added,"App. A, § 4308(1)(tit.), (2)"
,,13  Added,"App. A, § 4309(c)"
,,14,"App. A, § 4310(b)"
,,Added,"App. A, § 4310(e)"
,,15,"App. A, § 4313(b)"
,,Added,"App. A, § 4313(d)"
,,16,"App. A, § 4319(b)"
,,Added,"App. A, § 4319(d)"
