0,1
Code of VirginiaSection,Section this Code
1-200 et seq.,1-2
1-210,1-2
"1-216, 1-217","1-2, 1-3"
"1-227, 1-228",1-2
1-230,1-2
1-250,1-2
1-257,1-2
2.2-614.1,23-208
2.2-3700 et seq.,"Ch. 2, Art. II, Div. 2"
,2-166
2.2-3707,2-46
3.1-796,5-138
3.1-796.66,5-9
3.1-796.66 et seq.,Ch. 5
,"Ch. 5, Art. II"
3.1-796.68,5-79
3.1-796.73,5-40
3.1-796.86,"Ch. 5, Art. II, Div. 4"
,5-139
3.1-796.87,"5-145, 5-146"
3.1-796.88,5-146
3.1-796.89,5-143
3.1-796.90,5-140
3.1-796.91,5-142
3.1-796.92,5-141
3.1-796.93,5-37
3.1-796.93:1,"Ch. 5, Art. II, Div. 3"
"3.1-796.93:1, subsec. A",5-102
"3.1-796.93:1, subsecs. B—D, 3.1-796.93:1, subsecs. E, F","5-106, 5-107"
"3.1-796.93:1, subsec. G,3.1-796.93:1, subsec. H","5-108, 5-109"
"3.1-796.93:1, subsecs. H, I",5-110
"3.1-796.93:1, subsecs. J, K",5-111
"3.1-796.93:1, subsec. L",5-112
3.1-796.93:3,5-109
3.1-796.94,Ch. 5
3.1-796.96,"Ch. 5, Art. II, Div. 2"
,5-170
"3.1-796.96, subsec. A, 3.1-796.96, subsec. B","5-72, 5-73"
"3.1-796.96, subsec. C—3.1-796.96, subsec. G",5-75—5-79
"3.1-796.96, subsec. J, 3.1-796.96:2, subsec. D","5-71, 5-72"
"3.1-796.96:5, subsec. F.2",5-72
"3.1-796.96:7, subsec. A.2",5-72
3.1-796.97,5-144
3.1-796.98,5-41
,5-170
3.1-796.100,5-41
"3.1-796.101, 3.1-796.102",5-147
3.1-796.103,5-148
3.1-796.104,"5-9, 5-10"
3.1-796.104:1,5-112
3.1-796.105,5-10
,5-75
,5-78
3.1-796.111,5-6
3.1-796.113—3.1-796.115,5-6
3.1-796.116,5-104
"3.1-796.118, 3.1-796.119","5-105, 5-106"
3.1-796.121,5-39
3.1-796.122,5-6
3.1-796.125,5-6
3.1-796.127,5-38
3.1-796.128,5-41
9.1-138 et seq.,"Ch. 17, Art. II"
10.1-1100 et seq.,26-1
10.1-1142,26-2
"10.1-1150.1, 10.1-1150.4",26-2
10.1-1400 et seq.,"Ch. 20, Art. III"
,20-90
,Ch. 38
10.1-1404,"Ch. 20, Art. III"
,20-90
10.1-1414 et seq.,"Ch. 20, Art. IV"
,20-111
10.1-1418.2,"Ch. 20, Art. III"
15.1-538,2-46
15.1-1115,"Ch. 20, Art. II, Div. 2"
15.2-106,23-207
15.2-115,20-54
15.2-900,"Ch. 20, Art. II, Div. 2"
15.2-900 et seq.,"Ch. 20, Art. II"
15.2-901,Ch. 38
"15.2-904, 15.2-905","Ch. 20, Art. V"
15.2-913,"Ch. 11, Art. III"
,11-52
,11-54
"15.2-928, 15.2-929",Ch. 38
15.2-935—15.2-939,Ch. 38
15.2-938,Ch. 38
15.2-1200,"Ch. 20, Art. II"
15.2-1200 et seq.,Ch. 2
15.2-1201,Ch. 2
15.2-1205,2-167
15.2-1211,Ch. 14
15.2-1218,5-2
15.2-1400 et seq.,"Ch. 2, Art. II"
,"Ch. 2, Art. II, Div. 2"
15.2-1414.1—15.2-1414.3,2-20
"15.2-1416, 15.2-1417",2-46
15.2-1425—15.2-1429,"Ch. 2, Art. II, Div. 2"
15.2-1429,1-13
,8-178
15.2-1430,1-13
15.2-1432,1-13
15.2-1433,1-1
,1-11
15.2-1500 et seq.,"Ch. 2, Art. II"
15.2-1522 et seq.,Ch. 2
15.2-1527—15.2-1533,2-19
15.2-1529,2-19
15.2-1613.1,23-228
15.2-1737,1-14
15.2-1801,"Ch. 2, Art. III, Div. 3"
15.2-1806,"Ch. 2, Art. III, Div. 3"
15.2-2210 et seq.,"Ch. 2, Art. III, Div. 2"
15.2-2212,"2-93, 2-94"
15.2-2221,2-95
"15.2-2286, subsec. A.5",20-144
15.2-4900 et seq.,"Ch. 2, Art. III, Div. 4"
,2-141
15.2-4903,2-141
16.1-253,32-7
"16.1-253.1, 16.1-253.4",32-7
16.1-278 et seq.,35-1
16.1-278.2—16.1-278.6,32-7
16.1-278.8,32-7
16.1-278.14,32-7
16.1-278.15,32-7
16.1-279.1,32-7
17.1-275.5,"Ch. 23, Art. IX"
17.1-281,32-9
