Date,Subject,Disposition
6-20-75,Utility tax,2-3-21 et seq.
1-10-77,Water cross-connection and backflow preventions,5-1-44
1-10-77,Modular homes (R-2 zone),6-3-3
1-10-77,Define modular homes,6-3-74
1-10-77,Establish R-3 zone,6-3-4
1-10-77,Mobile homes permitted in any district by special exception,(Old § 21.67.1 repealed)
4-11-77,Revise subdivision ordinance,"Title 6, Ch. 2"
10-10-77,Minors in poolrooms,9-3-27
12-1-77,Added uses in B-1 and M-1 zones,6-3-5
8-14-78,Duties and term of planning commission,"6-1-1(b), 6-1-5"
8-14-78,Housing advisory and appeals board,6-4-20
8-14-78,Industrial development authority; term of directors,6-5-4
8-14-78,Board of zoning appeals; term of members,6-3-40
8-14-78,Garbage collection charges,4-2-13
10-9-78,Tax on unlicensed autos,8-5-10
1-8-79,Business license ordinance,"Title 7, Ch. 1"
3-12-79,Removal of unsafe structures,6-4-30
4-9-79,Parking meter hours,8-4-30
4-9-79,Garbage accumulation,4-2-12
5-14-79,Rates for various licenses,"7-1-41, 7-1-46, 7-1-79, 7-1-80"
8-13-79,Zoning,6-3-6
11-12-79,Public address and sound systems,9-3-29
5-12-80,Adopting ordinance,p. ix
5-12-80,Bank franchise tax,2-3-11—2-3-15
5-12-80,Purchasing procedures and check signatures,"2-3-5, 2-3-6"
5-12-80,Farking violations,8-4-34
5-12-80,Overtime parking,8-4-29
5-12-80,"Free parking for nonresident tobacco farmers, graders and buyers",(Old§ 12-46 repealed)
9-8-80,Carnival license tax,7-1-26
9-8-80,Bingo,7-4-1—7-4-12
10-13-80,Precious metal and jewel dealers,7-1-100
12-8-80,Driveway construction and drainage,4-1-9
12-8-80,Zoning,"6-3-1—6-3-20, 6-3-31—6-3-36, 6-3-51—6-3-62, 6-3-71—6-3-78, 6-3-91—6-3-95, 6-3-111—6-3-116, 6-3-131—6-3-137, 6-3-151—6-3-153, 6-3-161—6-3-168, 6-3-171—6-3-178, 6-3-181—6-3-188, 6-3-191—6-3-196, 6-3-201—6-3-206, 6-3-211—6-3-218, 6-3-221—6-3-228"
1-12-81,Precious metal and jewel dealers,7-1-100
