0,1
Ordinance  No.,Section  this Code
8-94-4,"4-6-1, 4-6-6"
9-94-8,"8-3-7, 8-3-9"
10-94-109,"109-1-1, 109-2-1"
11-94-3  Rpld,3-3-41
12-94-62,"62-1-1—62-1-4,"
,62-2-1—62-2-6
13-94-82,82-1-35
14-94-F  Added,F-46
15-94-F,F-18
16-94-F,F-13
17-94-4,4-7-10
18-94-4,4-6-8
19-94-67.1,67.1-10-2
20-94-I,"App. I, § 6"
21-94-6  Amd,6-1-1—6-1-3
Added,6-1-2.1
22-94-F,F-20
23-94-61  Amd,"61-1-2, 61-1-3,"
,"61-1-6, 61-1-7,"
,"61-2-1—61-2-7,"
,61-2-9
,61-2-11—
,"61-2-15, 61-4-1,"
,61-4-2
Amd,61-4-3
Rpld,61-4-3.1
Added,61-4-4
Rnbd,"61-4-4 as 61-4-5,"
,61-4-5 as 61-4-6
Amd,61-5-1
Rpld,"61-5-2—61-5-8,"
,61-6-1
Rnbd,61-7-1 as 61-6-1
24-94-7,7-2-7
,7-2-11—7-2-13
25-94-101  Amd,101-2-5(d)(5)
Added,101-2-5(d)(6)
26-94-116  Amd,116-1-1—116-1-8
Added,116-1-9
Rnbd,116-1-9—
,116-1-12 as
,116-1-10—
,116-1-13
27-94-82,82-1-6
28-49-82  Added,82-12-6(g)
29-94-82  Added,82-12-13
30-94-11,11-1-10(b)(11)
31-94-G-14,G-14(b)(2)
32-94-G-17,G-17(b)(2)
33-94-4,4-1-1—4-7-35
Added,4-7.1-1—
,4-7.1-35
34-94-3,3-7-27(a)
35-94-3  Rpld,3-7-44
36-94-3,"3-2-23(a),"
,"3-3-24(a),"
,3-7-20(a)
37-94-3,"3-2-1(d), (t),"
,3-3-1(a)(21)
,3-7-2(q)
Added,"3-2-1(d)(1),"
,"3-3-1(a)(4)(B),"
,3-7-2(c)(2)
38-94-104,"104-1-5, 104-1-7,"
,104-1-8
,"104-1-12(a), (c)"
39-94-109,109-1-1—
,109-10-2
40-94-5  Added,5-5-1
41-94-4  Added,4-17.1-6.1
1-95-G-18,G-18(b)(2)
2-95-G-19  Added,G-19
3-95-43,43-1-1
,43-1-4
4-95-24,"24-1-1—24-1-3,"
,"24-1-6, 24-1-7,"
,"24-1-9, 24-1-13"
5-95-F,F-19
6-95-3,3-2-41
7-95-G-17,G-17(b)(2)
8-95-G-19,G-19(b)(2)
9-95-82,"82-5A-4,"
,82-5A-6
10-95-7,"7-2-12, 7-2-13"
11-95-101  Added,101-2-2(9)
Rnbd,101-2-2(9)—(21) as
,(10)—(22)
12-95-3  Added,"3-2-55, 3-3-56,"
,3-7-51
13-95-61,"61-1-1—61-1-6,"
,"61-2-1—61-2-17,"
,"61-3-1—61-3-18,"
,"61-4-1—61-4-6,"
,"61-5-1, 61-6-1"
14-95-64,"64-1-1—64-1-5,"
,"64-2-1—64-2-5,"
,"64-3-1—64-3-10,"
,64-4-1
,"64-5-1—64-5-6,"
,64-6-1
15-95-65,"65-1-1—65-1-5,"
,"65-2-1—65-2-5,"
,"65-3-1—65-3-10,"
,65-4-1
,"65-5-1—65-5-6,"
,65-6-1
,"65-7-1—65-7-12,"
,65-8-1
16-95-66,"66-1-1—66-1-5,"
,"66-2-1—66-2-5,"
,"66-3-1—66-3-10,"
,66-4-1
,"66-5-1—66-5-6,"
,6-6-1
17-95-82,82-1-6
18-95-82  Added,82-6-38.1
,82-6-38.2
Rpld,82-6-58
19-95-G-14,G-14(b)(2)
20-95-114,114-1-2
21-95-115  Amd,"115-3-2, 115-4-1,"
,"115-5-1(a)(5),"
,115-5-1(a)(6)
,115-5-1(b)(3)
,115-6-1
Rnbd,115-4-2 as
,115-4-4
,115-4-3 as
,115-4-5
,115-4-4 as
,115-4-6
,115-4-5 as
,115-4-7
,115-4-6 as
,115-4-8
,115-4-7 as
,115-4-9
Added,"115-4-2, 115-4-3"
22-95-G-19,G-19(b)(2)
23-95-G-17,G-17(b)(2)
24-95-6  Added,6-4-1
25-95-3,3-2-1
26-95-G-20  Added,G-20
27-95-G-14,G-14(b)(2)
28-95-101,"101-1-4(a),  101-1-11,"
,"101-2-2(16)(B), 101-2-2(19)(A),"
,"101-2-3(c),  101-2-4(c),"
,"101-2-5(b), (c), 101-2-5(d)(1),  (2), (4)"
,101-4-1
Added,101-2-5(c)(10)
29-95-G-23  Added,G-23
30-95-82,"82-5A-10,"
,82-5A-11(a)
31-95-G-1,G-1
32-95-G-1,G-1
33-95-G-24  Added,G-24
34-95-G-21  Added,G-21
35-95-82,82-1-6
36-95-67.1,67.1-10-1—  67.1-10-11
01-96-3,"3-2-1(d), (m),"
,"3-2-19(a),"
,"3-2-25(a), (b), 3-2-28(a)"
Added,"3-2-1(t), (u)"
Rnbd,3-2-1(t)—(y) as (v)—(aa)
Rpld,"3-2-50,  3-8-1—3-8-14"
02-96-F  Added,F-47
03-96-G-17,G-17(b)(2)
04-96-83,83-4-7—83-4-11
Added,83-4-7.1—
,83-4-7.6
,83-4-8.1
05-96-G-21,G-21(b)(2)
06-96-9,9-5-13(c)
07-96-H  Added,"App. H, par. D"
08-96-F  Added,F-48
09-96-G-21,G-21(b)(2)
10-96-7,"7-2-4, 7-2-5,"
,"7-2-10, 7-2-13"
11-96-1,"App. I, § 5"
12-96-2,2-1-4
13-96-101,101-2-10
14-96-104,104-1-3
15-96-62,"62-1-1, 62-2-6"
16-96-4,4-6-8
17-96-30,"30-3-1, 30-3-7"
18-96-67.1,67.1-10-2
19-96-4,4-11-9
20-96-H  Added,"App. H, § E"
21-96-3,"3-2-1(g),"
,3-2-52
,3-2-54
,"3-3-1(a)(7),"
,"3-3-53, 3-3-55,"
,"3-7-2(g),"
,"3-7-8(b),"
,"3-7-48, 3-7-50"
22-96-3  Added,3-3-24(b)
23-96-82,82-1-32
24-96-G-17,G-17(b)(2)
25-96-82  Amd,82-1-6
Rpld,82-4-42
26-96-22  Rpld,22-1-1—22-2-7
27-96-41  Amd,41-6-2
Rpld,"41-6-4, 41-6-5,"
,41-6-8
28-96-43,43-1-3
29-96-68  Added,68-1-7(c)
Amd,"68-1-8, 68-1-31"
30-96-69,"69-1-4, 69-1-5"
31-96-70,70-1-4
Added,"70-1-29, 70-1-30"
32-96-4,4-14-3
,4-16.1-5
33-96-101,"101-2-3(c),"
,"101-2-4(c)(1),"
,101-2-5(c)
34-96-83,"83-4-7, 83-4-7.2,"
,83-4-7.3
,83-4-7.5
,83-4-7.6
Added,83-4-7.1.1
35-96-F,F-22
36-96-F,F-21
37-96-4,4-17.1-5—
,4-17.1-8
,4-17.1-10
,4-17.1-12
38-96-G-17,G-17(b)(2)
39-96-6,"6-1-1, 6-1-2,"
,"6-1-2.1, 6-1-3"
40-96-4  Added,4-7.2.1—
,4-7.2-36
41-96-82,82-1-6
42-96-30,30-1-1
,30-2-1
43-96-G-22  Added,G-22
44-96-F  Added,F-49
45-96-F,F-23
46-96-101,101-2-3(c)(14)
48-96-3,"3-3-1, 3-3-3,"
,3-3-10.1
,3-3-20
,"3-3-26, 3-3-27,"
,3-3-33—
,3-3-37.3
,3-3-40
47-96-101,"101-2-1(1)(A), (A)(2),  (A)(3)"
"101-2-3(d)(4),  101-2-5(d)(1)(A)","101-2-3(d)(4),  101-2-5(d)(1)(A)"
01-97-4  Added,4-7.2-3(g)
02-97-G-26  Added,G-26
03-97-82,82-5-3
04-97-K  Added,App. K
05-97-G-17,G-17(b)(2)
06-97-G-24,G-24(b)(2)
07-97-G-27  Added,G-27
08-97-4  Added,4-20-2
09-97-84.1,84.1-1-2
,84.1-1-4
,84.1-2-1
,84.1-2-2
,84.1-2-4—
,84.1-2-14
,84.1-3-1
,84.1-3-2
,84.1-3-4
,84.1-3-5
,84.1-3-7—
,84.1-3-9
,84.1-4-1
,84.1-5-1
,84.1-5-2
,84.1-6-1—
,84.1-6-3
,84.1-7-1
,84.1-8-1
,84.1-8-2
,84.1-8-4—
,84.1-8-6
,84.1-9-1
10-97-4,"4-14-3, 4-15-6,"
,4-16.1-5
11-97-7,"7-2-1, 7-2-6,"
,"7-2-7, 7-2-9, 7-2-13"
12-97-I,"App. I, § 5"
13-97-67.1,67.1-10-2
14-97-9,"9-4-1, 9-6-1"
15-97-F,F-24
16-97-82,82-5-31
17-97-62  Added,"62-2-4, 62-2-5"
Rnbd,62-2-4—62-2-6 as
,62-2-6—62-2-8
Amd,62-2-8
18-97-82,"82-1-6, 82-1-32,"
,82-5-1
Rpld,82-5-35
19-97-83,"83-4-6, 83-4-7,"
,83-4-10
Rpld,83-4-11
20-97-4  Added,4-24-1—4-24-6
21-97-G-25  Added,G-25
22-97-84.1,84.1-6-3
23-97-71  Added,71-1-1—71-1-6
24-97-F  Added,F-50
25-97-G-21,G-21
26-97-3  Rpld,"3-3-51, 3-7-46"
27-97-3,"3-2-1(k), 3-2-9,"
,3-3-10
28-97-3,3-3-33
29-97-3,3-7-33(b)
30-97-82,82-5-7
31-97-7,7-2-13
32-97-24  Rpld,24-1-1—24-1-14
33-97-G-17,G-17(b)(2)
34-97-43.1  Rpld,43-1-1—43-1-11
Added,"43.1-1-1—43.1-1-5,"
,43.1-2-1—43.1-2-4
,43.1-3-1—43.1-3-10
,"43.1-4-1, 43.1-5-1"
35-97-F  Added,F-51
36-97-101,"101-2-1(1)(B),"
,101-2-2
,101-2-9
37-97-62,62-2-8
38-97-4,4-7.2-1
39-97-101,101-1-3
,101-1-4(a)(1)
,101-1-10(b)
,101-2-1(2)
,101-2-5(d)(6)
,"101-2-9(b)(4), (7)(C)"
,"101-3-3(a)(1), (2)"
,101-3-9(c)
40-97-117,117-1-1
41-97-118,118-3-2(f)(6)(B)
,118-6-1
,118-7-1(b)
42-97-41,"41-1-1, 41-7-1,"
,41-7-2
01-98-E,E-2
02-98-83,83-4-12
Added,83-4-12.1
03-98-L  Added,App. L
04-98-101  Added,101-2-5(c)(11)
05-98-69,69-1-3—69-1-5
,69-1-9
Added,69-1-13
06-98-67.1,67.1-10-1—67.1-10-11
07-98-G-20,G-20
08-98-7,"7-1-1, 7-2-4,"
,"7-2-5, 7-2-11—"
,7-2-13
09-98-F  Added,F-52
10-98-H,App. H
11-98-3,3-2-39
12-98-3  Added,3-2-56
13-98-3,3-3-33
14-98-3,3-2-41
15-98-28,28-4-1(b)
,28-4-2(e)
16-98-61,"61-1-1—61-1-5,"
,61-2-1—61-2-14
,"61-3-5, 61-3-13,"
,"61-3-16(11), 61-4-1—"
,"61-4-6, 61-5-1,"
,61-6-1
Rpld,61-3-18
17-98-64,"64-1-1—64-1-4,"
,"64-2-1, 64-3-1—"
,"64-3-10, 64-4-1,"
,"64-5-1, 64-5-2,"
,64-6-1
Rpld,"64-1-5, 64-2-2,"
,"64-2-3, 64-5-3—"
,64-5-6
Rnbd,"64-2-4 as 64-2-2,"
,64-2-5 as 64-2-3
18-98-65,"65-1-1—65-1-4,"
,"65-2-1, 65-3-1—"
,"65-3-10, 65-4-1,"
,"65-5-1, 65-5-2,"
Rpld,"65-1-5, 65-2-2,"
,"65-2-3, 65-5-3—"
,"65-5-6, 65-6-1"
Rnbd,"65-2-4 as 65-2-2,"
,"65-2-5 as 65-2-3,"
,65-7-1—65-7-12 as
,"65-6-1—65-6-12,"
,65-8-1 as 65-7-1
19-98-66,"66-1-1—66-1-4,"
,"66-2-1, 66-3-1—"
,"66-3-10, 6-4-1,"
,"66-5-1, 66-5-2,"
,66-6-1
Rpld,"66-1-5, 66-2-2,"
,"66-2-3, 66-5-3—"
,66-5-6
Rnbd,"66-2-4 as 66-2-2,"
,66-2-5 as 66-2-3
20-98-1  Added,1-1-16
21-98-82,82-1-6
22-98-F,F-28
23-98-F,F-29
24-98-108,108-4-1(b)
25-98-F  Added,F-53
26-98-3,3-1-1—3-1-22
27-98-F,F-27
28-98-7,"7-2-9, 7-2-13"
29-98-F,F-30
30-98-G-9,G-9
31-98-8.1  Added,8.1-1-1—8.1-5-1
32-98-109  Added,109-7-1(c)(5)
33-98-83,83-2-1
Added,"83-4-7.1.2,  83-4-10.1,  83-4-10.2,  83-4-12.2"
34-98-G-28  Added,G-28
Memo of 8-28-98,F-8
1-99-E,E-1
2-99-F  Added,F-51
3-99-3,3-6-7
4-99-82  Added,82-2-7
5-99-4  Added,4-20-3
6-99-G-21,G-21(b)(2)
7-99-G-29  Added,G-29
8-99-82,82-12-1—
,82-12-13
9-99-13,"13-1-3, 13-1-11"
10-99-G-9,G-9(b)(2)
11-99-G-29,G-29(b)(2)
12-99-3,3-1-23
13-99-G-27,G-27(b)(2)
14-99-4,"4-24-1, 4-24-2"
,4-24-3
Added,"4-24-2.1, 2-24-2.2"
,"4-24-3.1, 4-24-7"
,4-24-8
15-99-67.1,67.1-10-1—  67.1-10-11
16-99-F,F-31
17-99-F,F-34
18-99-G-30  Added,G-30
19-99-4,4-4-1—4-4-5
,4-5-1—4-5-4
,"4-7.2-9, 4-7.2-10"
,4-8-1—4-8-4
,"4-10-1, 4-10-2"
,4-13-1
,4-13-5—4-13-7
,"4-13-9, 4-14-6"
,"4-17.1-9, 4-18-9"
,4-19-2—4-19-5
,4-19-7—4-19-9
,4-19-10
,"4-20-3, 4-21-1"
,4-21-4(A)
,4-21-5—4-21-7
,"4-21-10, 4-21-11"
Rpld,"4-1-2, 4-5-5"
,"4-18-10, 4-19-11"
,4-19-12
20-99-82,82-1-6
21-99-A,App. A
22-99-101,101-2-3(c)
,101-2-4(c)(1)
,101-2-5(c)
,101-2-10(a)
23-99-83,83-4-12.1
24-99-3,"3-1-15, 3-1-16"
25-99-G-26,G-26(b)(2)
26-99-G-9,G-9(b)(2)
27-99-82,82-2-7
28-99-G-17,G-17(b)(2)
29-99-G-29,G-29(b)(2)
30-99-41,41-2-2(d)
31-99-F,F-4
32-99-F,F-54
33-99-F,F-53
34-99-F,F-35
35-99-61  Added,61-1-3(d)(1)(B)(8)
Rnbd,"61-1-3(d)(1)(B)(8), (9)"
as,"(9), (10)"
36-99-41  Added,41-2-7.1
37-99-G-19,G-19(b)(2)
38-99-H,App. H
39-99-109,109-1-1—109-1-3
,109-2-1—109-2-7
,"109-3-1, 109-3-2"
,109-4-1—109-4-6
,109-5-1—109-5-10
,109-6-1—109-6-3
,109-7-1—109-7-3
,109-8-1
,109-9-1—109-9-3
,"109-10-1, 109-10-2"
40-99-F,F-37
41-99-F,F-3
42-99-G-9,G-9(b)(2)
43-99-4,"4-14-5, 4-14-6"
44-99-62,"62-2-8, F-3103.1"
45-99-G-7,G-7(b)(2)
46-99-G-31  Added,G-31
47-99-G-27,G-27(b)(2)
48-99-G-9,G-9(b)(2)
49-99-G-14,G-14(b)(2)
50-99-G-32  Added,G-32
1-00-3,3-5-1.1
,3-5-2.1
2-00-F,F-33
3-00-116,116-1-4
,116-2-1
4-00-84.1,84.1-1-1—  84.1-10-2
5-00-3,3-3-33
6-00-3,3-7-27
,3-7-51
7-00-3,3-2-23(e)
08-00-28,28-1-1—28-5-2
09-00-28.1,28.1-1-1—28.1-5-3
10-00-10,10-3-2
11-00-3,3-2-32(a)(3)
,3-2-44
,3-2-55(d)
12-00-104,104-1-3(b)
,104-1-3(c)(2)
,104-1-6
,104-1-7
13-00-41,41-2-4(a)
14-00-3,3-1-11(g)
,3-1-16(a)
,3-2-1(g)
,3-3-1(7)
,3-7-2(g)
15-00-82,82-5-39
,82-5-40
16-00-67.1,67.1-10-1—67.1-10-11
17-00-F,F-43
18-00-F,F-5
19-00-F,F-10
20-00-F,F-7
21-00-F,F-6
23-00-4,4-14-1—4-14-5
22-00-F,F-36
24-00,G-33
25-00-I,App. I
26-00-14,14-1-1—14-3-1
27-00-82,82-1-6
28-00-G-21,G-21
29-00-G-5,G-5
30-00-82  Added,82-5B-1—82-5B-7
31-00-82,82-5A-2—82-5A-7
,82-5A-9—82-5A-12
32-00-G-17,G-17(b)(2)
33-00-G-14,G-14(b)(2)
34-00-41,41-2-4(2)
35-00-F  Added,F-55
36-00-G-34  Added,G-34
37-00-101,101-2-1
,101-2-2
,101-2-5
,101-2-8
,101-2-9
,101-2-10
,101-3-5
,101-3-8
,101-3-9
,101-3-11
,101-4-1
38-00-4,4-6-2
Added,4-6.1-1—4-6.2-6
,4-7.2-33
39-00-11  Rpld,11-1-1—11-1-22
Added,11-1-1—11-2-23
40-00-G-19,G-19
41-00-G-29,G-29
42-00-101,101-2-5
43-00-F,F-39
44-00-G-9,G-9
01-01-9  Rpld,9-1-1—9-1-3
,9-2-1
,9-3-1—9-3-4
,"9-4-1, 9-4-2"
,9-5-1—9-5-13
,"9-6-1, 9-6-2"
,9-7-1—9-7-10
,9-8-1—9-8-13
Added,"9.1-1-1, 9.1-3-2"
,9.1-2-1
,9.1-3-1—9.1-3-7
,"9.1-4-1, 9.1-4-2"
,9.1-5-1—9.1-5-12
,9.1-6-1—9.1-6-3
,9.1-7-1—9.1-7-9
,9.1-8-1—9.1-8-5
,9.1-9-1—9.1-9-12
2-01-84.1,84.1-6-3
3-01-119,119-2-1
,119-3-2
,119-3-3
,199-3-4
4-01-30,30-1-1
,30-1-2
,30-2-4
,30-2-5
Rpld,30-3-1—30-3-7
Added,30-3-1—30-3-10
5-01-G-17,G-17
6-01-G-20,G-20
7-01-G-21,G-21
8-01-G-33,G-33
9-01-43.1,43.1-1-3
,43.1-1-4
,43.1-3-2
Added,43.1-6-1
,43.1-6-2
10-01-3,3-2-1
,3-2-2
,3-2-23
,"3-2-32(a)(3), (b)"
,3-2-38(b)
,3-2-43
,3-3-1(a)(14)
,3-3-20
,3-3-24
,3-3-27
,3-3-37(a)
,3-3-37.3(a)
,3-3-39
,3-3-43
,3-7-10
,3-7-19
,3-7-20
,3-7-38(b)
,3-7-40
11-01-4,4-7.2-1(b)(3)(A)
12-01-67.1,67.1-10-1—67.1-10-11
13-01-G-14,G-14
14-01-43.1,43.1-1-3—43.1.5
,43.1-3-1
,43.1-3-10
15-01-F-14,F-14
16-01-F-16,F-16
17-01-3,"3-1-6(b)(2), (d)"
,3-1-16
18-01-3,3-2-1
,3-3-1
,3-7-2
Added,3-2-24.1
,3-3-25.1
,3-7-23.1
19-01-3,3-3-37.2
20-01-5,5-1-15
21-01-7,7-2-1
,7-2-3—7-2-12
22-01-7,7-1-1
,"7-1-3, 7-1-4"
,"7-2-7, 7-2-8"
,7-2-10—7-2-13
23-01-101,101-2-2
24-01-82,82-11-2
25-01-82,82-1-6
26-01-83,83-4-12.1
27-01-G-35  Added,G-35
28-01-69.1  Rpld,69-1-1—69-1-13
,69-2-1—69-2-30
,69-3-1—69-3-15
Added,69.1-1-1—69.1-1-25
,69.1-2-1—69.1-2-27
,69.1-3-1—69.1-3-15
,69.1-4-1—69.1-4-19
,69.1-5-1—69.1-5-15
,69.1-6-1—69.1-6-12
,69.1-7-1—69-7-10
29-01-3  Rpld,3-6-1—3-6-27
Added,3-6-1—3-6-25
,"3-6-27, 3-6-38"
30-01-F-44,F-44
31-01-F-56,F-56
32-01-7,7-2-4
,7-2-7—7-2-9
,7-2-11—7-2-13
