0,1,2
Ordinance  Date,Ordinance  Section,Section  this Code
6-27-02,,3-7
6-25-13,,3-3
12-29-21,,3-1
7-1-37,1,19-6
7-1-37,,19-8
4-23-48,"§§ II, IV",18-23
3-27-52,,2-8
8-26-54,,2-16
3-28-58,1,"19-10, 19-11"
,2,19-16
,4,19-15
10-24-58,,3-11
11-28-58,,2-9
2-27-59,102,"19-41, 19-42"
,103—108,19-43—19-48
,109,19-40
,110,19-39
,111,19-21
,112,19-49
,201,19-50
,202,19-52
,203,"19-50, 19-51"
,206—208,19-52.1—19-52.3
,301,19-54
,302,19-53
,303,19-55
10-23-59,,16-1
7-28-60,,3-24
3-22-62,1—5,21-31—21-35
11-29-62,2,19-50
,3,19-53
12-27-62,1,18-33
,"2, 3","18-35, 18-36"
,4—13,18-38—18-47
,15,18-48
4-22-63,"1, 3",13-2
8-28-64,,21-3
9-25-64,1.2,3-13
,1.3,"3-14, 3-18"
,1.4—1.7,3-20—3-23
10-21-65,1-1,15-2
,1-2,15-1
,2,15-3
,3,15-6
,4-1—4-3,15-52—15-54
,"4-4, 4-5","15-4, 15-5"
,"4-6, 4-7","15-55, 15-56"
,5-1,15-11
,5-2,"15-12, 15-23"
,"5-3, 5-4",15-13
,5-5,15-23
,5-5-1-A—5-5-1-C,15-45—15-47
,5-5-1-D,15-14
,5-5-1-E,15-48
,5-5-2,15-23
,5-5-3,15-18
,5-5-4,15-15
,5-5-5,15-17
,5-5-6,15-16
,5-6,15-25
,5-7,15-23
,"5-8, 5-9","15-19, 15-20"
,5-10—5-14,15-40—15-44
,5-15,15-21
,5-16—5-29,15-26—15-39
,5-30—5-32,15-49—15-51
,5-33—5-33-3,15-22
,6-1,15-57
,"6-2, 6-2-1",15-58
,6-3—6-3-9,15-59
,6-4—6-6,15-60—15-62
,6-7—6-7-9,15-63
,6-8,15-64
,7,15-7
,"8-1, 8-2","15-8, 15-9"
,8-5,15-10
,App. A,15-24
1-28-66,,3-25
2-25-66,"1, 3",16-42
5-27-66,,16-41
11-17-67,3.2—3.6,10-29(b)—(f)
1-26-68,3.1—3.4,10-29(a)
,3.5,10-25
,3.6,10-29(a)
4-26-68,2,"19-41, 19-42"
,3,19-48
,4,19-50
10-20-68,2-1,19-79
,2-10,19-77
10-20-68,1.1,10-3
,1.2,10-5
,1.3,10-4
,1.4,10-7
,1.5,"10-4, 10-8"
,"1.6, 1.7","10-13, 10-14"
,1.8,10-10
,1.9,10-9
,"1.10, 1.11","10-11, 10-12"
,1.12,10-15
,1.13,10-24
,1.14,10-16
,1.15—1.17,10-17—10-19
,1.18,10-6
,1.19—1.22,10-20—10-23
,1.23,10-25
,Art. II,10-2
,3.2,10-27
,"3.9, 3.10","10-44, 10-45"
,3.12,10-45
,3.13,10-44
,3.14,10-41
,3.15,10-44
,3.16,10-46
,3.17,10-49
,3.25,10-31
,4.3,10-1
,6.2,3-2
12-20-68,2-1,"19-80, 19-81"
,2-2,19-83
,2-3,19-82
,2-4,"19-4, 19-84"
,2-5—2-9,19-86—19-90
,2-11,19-39
,2-12,19-21
,2-13,19-19
,2-14,19-78
,4-1,19-16
,4-2,19-13
,4-3,19-18
,4-4,19-12
,6-3,13-15
12-28-68,14.1,"18-37, 18-41"
,14.2,18-46
2-28-69,6-2,3-2
,6-3,13-15
3-28-69,1.1—1.3,13-8
,1.4,13-9
,1.5,13-8
8-22-69,,19-84
10-24-69,,"2-17, 18-22"
,B,2-3
,C,2-19
,D,"2-8, 2-9,"
,,"2-18, 3-11,"
,,"9-11, 15-16,"
,,19-5
2-27-70,,3-9
6-26-70,1,16-32
,2,16-31
,3—5,16-33—16-35
,6,16-37
,7,16-36
,"8, 9","16-38, 16-39"
8-28-70,,2-21
9-25-70,,2-10
4-15-71,2,19-81
,3,19-77
6-25-71D,1,"7-1, 7-31"
,2,7-32
,3,"7-33—7-35,"
,,"7-37, 7-38"
6-25-71P,,7-48—7-52
,1,7-39
,3,7-41—7-47
9-24-71,,9-15
,Title,9-1
,Art. I,9-2
,"1-3-2, 1-3-3",9-11
,"2-1-1, 2-1-2","9-5, 9-6"
,3-1-1,9-7
,"3-2-1, 3-2-2","9-24, 9-25"
,3-2-3,9-26
,3-2-4,9-30
,"3-2-5, 3-2-6","9-26, 9-27"
,3-2-7,9-29
,3-2-8,9-28
,3-3—3-3-3,9-31
,"4-1, 4-2","9-3, 9-4"
,4-3-1,9-8
,"4-3-4, 4-3-5","9-13, 9-14"
,"4-3-7, 4-3-8","9-17, 9-18"
,4-3-9,"9-16, 9-18"
,4-3-10,9-12
,4-3-11,9-19
,5-1—5-4,9-20—9-23
10-22-71,,"3-1, 3-13"
10-22-71,,"9-3, 9-4"
10-22-71,,19-77
12-27-71,,13-16
12-27-71,3.10,10-45
,3.14,10-41
,3.28,10-44
1-4-72,,2-12
2-10-72,,15-25
5-17-72,1.1,13-14
5-22-72L,,Ch. 17(note)
5-22-72R,,Ch. 17(note)
5-25-72,1-1-1—1-1-5,4-1
,"3-1, 3-2",4-2
6-29-72,1-1,"18-34, 18-35"
,1-2,18-34
8-31-72,1—11,20-1—20-11
,12,20-13
10-31-72,2,19-50
12-15-72,101,19-41
12-19-72,201,19-50
12-28-72,"2.1, 3.1","21-1, 21-2"
,4.1,21-30
,5.1,21-2
12-29-72,,1-9
1-25-73,3.1,18-21
,5.1,18-21
3-29-73,1-1,"18-34, 18-35"
10-25-73,1.1,21-1
,3.1,21-4
,4.1,21-30
,"5.1, 6.1","21-4, 21-5"
11-29-73,1,20-4
,2,20-10
,3,20-13
5-30-74,,7-48
,2,7-41
,4,7-41
12-30-74,,13-21
3-13-75,"1-1, 1-2","19-41, 19-42"
,1-3—1-7,19-44—19-48
,1-8,19-40
,1-9,19-21
,1-10,19-39
,1-11,19-49
,2-1,19-50
,2-2,19-51(a)
,2-3,19-52
,2-4—2-6,19-52.1—19-52.3
,3-1,19-54
,3-2,19-53
,"3-3, 3-4","19-55, 19-55.1"
,4-1,19-20
4-24-75,"1.1, 1.2",13-12
3-31-76,1-1,16-72
,2-1,16-71
,"3-1, 4-1","16-73, 16-74"
,5-1—5-4,16-75
,8-1,16-76
5-17-76,"2-1, 3-1","3-31, 3-32"
,4-1—4-4,3-33—3-36
,5-1,3-38
,6-1,3-39
,7-1,3-40
5-26-76,,13-7.1
6-30-76,1—7,16-81—16-87
8-25-76,"1-1, 1-2","7.5-1, 7.5-2"
,1-3,7.5-4
,1-5,7.5-3
,"2-1, 2-2","7.5-6, 7.5-7"
,3-1—3-8,7.5-8—7.5-15
,3-9,7.5-5
,3-10,7.5-16
9-29-76,,19-51(b)
10-27-76,,"3-31, 3-36,"
,,3-37
1-26-77,,"18-36, 18-37,"
,,"18-42, 18-44"
6-29-77,1,7.5-7
7-27-77,1,19-55.3
,1.01,19-55.2
,2—5,19-55.6—19-55.9
,"6, 7","19-55.4, 19-55.5"
,,19-105—19-108
7-27-77,1,19-102
,1.01,19-101
,2—5,19-105—19-108
,"6, 7","19-103, 19-104"
10-26-77,,3-13
11-30-77,"1, 2","18-1, 18-2"
6-28-78,,"5-9(i),"
,,"5-14, 5-61,"
,,"5-74, 5-88,"
,,5-108
2-22-78,,"5-1—5-4,"
,,"5-9—5-14,"
,,5-16
,,"5-18—5-23,"
,,"5-35—5-41,"
,,"5-44—5-49,"
,,"5-60—5-67,"
,,5-69
,,"5-71—5-81,"
,,"5-85—5-95,"
,,5-99—
,,5-102
,,5-104—
,,5-108
,,5-109.1—
,,5-109.15
,,5-130—
,,5-138
,,5-142
,,5-144—
,,5-146
11-29-78,,10-44
11-29-78,,15-40
6-19-79,,19-57
10-16-79,,15-3
5-20-80,,16-40
7-15-80,1—5,16-61—16-65
7-15-80,1—29,"App. A,"
,,§§ 1—29
9-16-80,,21-30
10-21-80,,10-2
,,10-10
,,10-17
,3.1,10-41
,3.2 A,10-46
,3.2 B,10-31
,3.3 A,10-42
,3.3 B,10-43
,3.3 C,10-45
,3.3 D,10-44
,3.4,10-27
,3.5,10-61
,3.6,10-32
,3.7,10-48
,3.8,10-47
,3.9,10-28
,3.10,10-30
,3.11,10-29
,3.12,10-49
4-21-81,1-1—1-4,4.5-1—4.5-4
,"1-5, 1-6","4.5-9, 4.5-10"
,"1-7, 1-8","4.5-7, 4.5-8"
,1-9,4.5-11
,1-10(1),4.5-5
,1-10(2),4.5-12
,1-11,4.5-13
,1-12,4.5-6
5-19-81D,Art. I,7-31
,Art. II,7-32(a)
,Arts. III—V,7-33—7-35
,"Arts. VI, VII","7-37, 7-38"
,Art. IX,7-1
5-19-81P,Art. I,7-39
,Art. II(1),7-32(b)
,Arts. III—V,7-40—7-42
,Art. VI,7-43—7-45
,"Arts. VII, VIII","7-46, 7-47"
,Art. IX,7-48—7-52
5-27-81,"Art. I, § 1",16-32
,§ 2,16-31
,§§ 3—5,16-33—16-35
,§ 6,16-37
,§ 7,16-36
,"§§ 8, 9","16-38, 16-39"
6-23-81,"1-1, 1-2","19-41, 19-42"
,1-3—1-7,19-44—19-48
,1-8,19-40
,1-9,19-21
,1-10,19-39
,1-11,19-49
,2-1,19-50
,2-2,19-51(a)
,2-3,19-52
,2-4—2-6,19-52.1—19-52.3
,3-1,19-54
,3-2,19-53
,"3-3, 3-4","19-55, 19-55.1"
,4-1,19-20
6-23-81,1-1,19-57
,1-2,19-55
,2-1,19-73
,2-2,19-91
,2-3,19-74
,2-4,19-92
,2-5—2-9,19-75—19-79
,2-10,19-72
,2-11,19-64
,2-12,19-71
,2-13,19-80
,2-14,19-65
,3-1—3-5,19-59—19-63
,6-1,4-3
,6-2,3-2
,6-3,13-15
2-16-82,,"App. A, § 24"
4-20-82,,"7.5-1, 7.5-7,"
,,"7.5-9(b),"
,,"7.5-10(b), (c),"
,,"7.5-13, 7.5-14"
4-20-82,"Art. I, § 1",16-32
,§ 2,16-31
,§§ 3—5,16-33—16-35
,§ 6,16-37
,§ 7,16-36
,"§§ 8, 9","16-38, 16-39"
5-18-82,,"16-61, 16-63"
5-18-82,,19-46
,,19-53—19-55
5-18-82,,"19-77, 19-91"
6-15-82,,"16-73, 16-74"
9-21-82,,"20-2—20-4,"
,,"20-6—20-10,"
,,"20-12, 20-13"
11-16-82,,Ch. 21(note)
5-3-83,"Art. I, § 1A",Rpld 16-81—16-84
,"Art. II, § 1",16-85
6-7-83,,"Rpld 21-1—21-5,"
,,21-30—21-35
,,Added 21-1—21-12
8-2-83,,19-1
,,Rnbd 19-58 as
,,19-2
,,"Rnbd 19-2 as 19-3,"
,,"Rnbd 19-8, 19-9 as"
,,19-4.1
,,19-4.2
,,"19-5—19-7,"
,,Rnbd 19-65 as
,,19-9.1
,,Rnbd 19-101—
,,19-108 as
,,19-9.2—
,,19-9.9
,,"19-20, 19-41,"
,,"19-50, 19-51,"
,,19-55.1
,,"19-59, 19-73,"
,,19-92
,,19-115—
,,19-117
,,19-123—
,,19-134
,,19-136
,,19-137
,,Rpld 19-55.2—
,,19-55.9
,,Rpld 19-60—19-63
9-6-83,,"15-1—15-6,"
,,"15-8—15-11,"
,,"15-13, 15-14,"
,,15-16—
,,"15-23, 15-25,"
,,15-29—
,,15-30.1
,,15-36—
,,15-38
,,"15-40—15-47,"
,,"15-49—15-52.3,"
,,"15-55, 15-56,"
,,"15-58, 15-59,"
,,15-63
,,15-65—15-82
,,"Ch. 15,"
,,Apps. A—C
12-6-83,,13-18
12-20-83,1-1—1-5,App. B
,"2-1, 2-2",
,3-1—3-5,
,4-1—4-10,
,"5-1, 5-2",
,"6-1, 6-2",
,7-1—7-22,
,8-1—8-19,
,9-1—9-11,
,10-1—10-6,
,11-1—11-13,
,12-1—12-6,
,13-1—13-7,
,14-1—14-26,
,15-1—15-11,
2-13-84,,7-40(3)a
,,7-43
2-21-84,,18-33
3-20-84,,18-25
4-5-84,,16-81—16-85
5-1-84,,2-9
5-1-84,,5-9—5-12
5-1-84,,19-12
6-11-84,,18-31
,,18-31.1
7-3-84,,4-2
7-17-84,,15-48
8-13-84,,10-62—10-83
,,Rpld 10-30
9-4-84,,10-84—10-89
,,Rpld 10-31
9-4-84,,20-4
10-9-84,,18-25.1
11-20-84,,15-3
11-20-84,,15.1-1.1—15.5-1.8
,,15.5-2.1—15.5-2.10
1-15-85,,15-66
3-19-85,,19-4.3
4-2-85,,16-41
4-2-85,,"App. B, § 2-2,"
,,Art. V (Sched.)
4-2-85,,"App. B,"
,,Art. V (Sched.)
4-2-85,,"App. B,"
,,Art. V (Sched.)
6-18-85,,19-2
,,19-10
,,"19-40—19-42,"
,,19-48
,,19-50
,,19-52
,,19-52.4
,,"19-53—19-55.1,"
,,"19-72, 19-73,"
,,19-79
,,"19-91, 19-92,"
,,19-125
,,19-131
,,"19-136, 19-137"
6-18-85,,"App. B, §§ 3A-1—3A-7"
8-20-85,,"App. B,"
,,Art. V (Sched.)
9-3-85,,18-2
9-17-85,,"App. B, § 2-2,"
,,Art. V (Sched.)
11-19-85,,3-34
12-17-85,,18-33
,,18-36
,,"18-40, 18-41"
,,18-43
,,18-45
12-17-85,,"18-48, 18-49"
12-17-85,,"App. B, § 4-5"
12-17-85,,"App. B,"
,,Art. V (Sched.)
12-17-85,,"App. B, § 9-12"
12-17-85,,"App. B, § 14-11"
12-17-85,,"App. B,"
,,Art. V (Sched.)
1-7-86,,15-3
,,15-31—15-33
,,Rpld 15-36
2-4-86,,"App. B, § 7-2"
3-4-86,,9-2
3-4-86,,9-3
5-6-86,,18-36
5-20-86,,19-41
,,19-50
,,19-73
6-3-86,,19-53—19-55
,,19-91
,,19-136
7-1-86,,3-41
7-1-86,,18-2
8-5-86,,"Rpld 3-34,"
,,3-35
,,3-33
,,3-36
8-5-86,,"App. B,"
,,Art. V (Sched.)
8-19-86,,13-22
9-24-86,"1, 2","9.5-31, 9.5-32"
,3,9.5-34
,4,9.5-33
,5,9.5-35
10-7-86,,Rpld 15-48
10-7-86,,"App. B, §§ 2-2,"
,,5-3
11-5-86,1—6,2-41—2-46
3-3-87,,"App. B, §§ 2-2,"
,,11-12
,,Art. V(Sched.)
4-21-87,,3-49—3-51
,,"3-53, 3-54"
,,"3-56, 3-57"
,,"Rpld 3-15, 3-16"
4-21-87,,"App. B,"
,,Art. V(Sched.)
4-27-87,,19-53—19-55
,,"19-91, 19-136"
5-19-87,,10-62
,,10-64
5-19-87,,15-3
5-19-87,,16-100—
,,16-102
6-2-87,,18-2
7-7-87,1-1,8.5-1
,1-2—1-7,8.5-3—8.5-8
,Art. II,8.5-2
,3-1—3-5,8.5-21—8.5-25
,4-1—4-4,8.5-36—8.5-39
,5-1,8.5-51
,"6-1, 6-2",8.5-52
,Art. VII,8.5-10
,Art. VIII,8.5-9
,Art. IX,8.5-11
7-7-87,,12-5—12-10
8-4-87,,16-3
8-18-87,,15-3
10-20-87,,3-33
,,Rpld 3-37
10-20-87,,3-41
11-4-87,,"App. B, §§ 14-13,"
,,14-14
12-1-87,,"App. B, Art. V"
,,(Sched.)
12-1-87,,"App. B, § 13-4"
12-15-87,,"App. B, § 2-2"
2-17-88,,"App. B, § 2-2"
3-15-88,,"App. B, § 2-2"
,,"App. B, Art. V"
,,(Sched.)
4-5-88,"1, 2","9.5-41, 9.5-42"
,3,9.5-44
,4,9.5-43
,5,9.5-45
5-17-88,,"19-41(a),"
5-17-88,,"19-50(e),"
,,19-73(a)
,,"19-115, 19-118,"
,,19-123
,,Added 19-125
,,Rnbd 19-125
,,as 19-126
,,Amd. 19-126
,,Added 19-127
,,"Rnbd 19-126, 19-127"
,,"as 19-128, 19-129"
,,Rnbd 19-128
,,as 19-130
,,Amd. 19-130
,,Rnbd 19-129—19-134
,,as 19-131—19-136
,,Rnbd 19-136
,,as 19-137
,,Amd. 19-137
5-17-88,,"App. B, § 12-3"
6-7-88,,5-9
6-7-88,,7-40(4)
6-7-88,,"20-6, 20-7"
6-21-88,,3-42
6-21-88,,13-23
6-21-88,,18-2
8-2-88,,15.5-1.5
8-16-88,,"15-50.1, 15-63"
8-16-88,,"16-103, 16-104"
8-16-88,,21-2
9-20-88,,5-9
9-20-88,,19-12
11-15-88,,3-9.1
11-15-88,,"App. B, §§ 2-2,"
,,5-2
12-6-88,,"App. B, §§ 2-2,"
,,5-2
1-17-89,,Rpld 15-43.1
1-17-89,,"App. B, § 14-3"
2-21-89,,"App. B, § 14-6"
2-21-89,,"Rpld App. B, § 14-7"
3-7-89,,"3-12, 3-49"
3-21-89,,"19-2, 19-125(e)"
6-6-89,,"Ch. 19,"
,,Art. III (title)
,,"19-19, 19-21,"
,,"19-50 (c), (e),"
,,"19-51, 19-52.3,"
,,"19-55, 19-55.1"
,,"Rpld 19-39—19-42,"
,,"19-44—19-49,"
,,"19-52.1, 19-53,"
,,19-54
6-6-89,,"Rpld 19-56, 19-57,"
,,"19-59, 19-64,"
,,"19-71—19-80,"
,,"19-91, 19-92"
6-6-89,,"19-115, 19-137"
,,Rpld 19-123
6-6-89,,"App. B, § 5-2"
6-20-89,,"App. B, § 9-3.1"
7-5-89,,18-2
7-18-89,,21-9.1
9-19-89,,9-1—9-46
11-21-89,,"16-73, 16-74"
12-19-89,,21-8
4-17-90,,3-18
4-17-90,,3-41
4-17-90,,3-43
5-1-90,,10-25
6-5-90,,"2-1.1, 2-2"
6-5-90,,16-43
8-21-90,,"App. B, § 2-2"
8-21-90,,"App. B, § 5-2"
8-21-90,,13-24
9-4-90,,18-2
12-18-90,,5-9—5-12
2-5-91,,3-14
2-19-91,,1-10
2-19-91,,16-4
3-19-91,,3-44
3-19-91,,13-24(a)
4-16-91,,"App. B, § 15-11"
5-7-91,,"7-1, 7-2,"
,,7-31—7-48
,,Rpld 7-49—7-52
6-4-91,,"19-4, 19-137"
6-18-91,,"13-14, 13-15"
6-18-91,,16-43
8-6-91,,18-2
8-20-91,,13-24(a)(3)
8-20-91,,16-103
10-15-91,,5.5-1—5.5-18
11-6-91,,19-126.1
11-19-91,,9-47—9-52
11-19-91,,13-25
2-4-92,,13-25
,,"3-8, 3-11,"
,,"3-41, 3-43"
,,Rpld 3-31
,,"3-32, 3-33"
,,Rpld 3-36
,,Rpld 3-38
,,"3-39, 3-40"
2-18-92,,1-10
3-17-92,,"App. B, § 13-4"
4-7-92,,18-25.1
,,18-31
,,18-31.1
,,18-32
,,18-49
5- 5-92,,3-42
5- 5-92,Rpld,13-10
,,13-11
,,13-24
6-16-92,,8-23
7- 7-92,,"7-43, 7-44"
,,7-48
7-21-92,,16-43
9-15-92,,"19-2, 19-3"
,,19-4.1
,,19-4.3
,,"19-6, 19-7"
,,"19-10, 19-11"
,,19-19
,,19-50
,Rpld,"19-51, 19-52"
,Rpld,19-52.2
,,"19-52.4, 19-52.5"
,,"19-55, 19-55.1"
12-15-92,,9.5-46—9.5-54
7- 6-93,,19-2
,,19-52.4
,,19-55.1
,,19-125—19-130
,,"19-132, 19-133"
,,19-136—19-138
9- 7-93,,"3-13, 3-25"
10-19-93,,"App. A, § 24"
12- 7-93,Rpld,7.5-1—7.5-16
,Added,7.5-1—7.5-13
12- 7-93,,"18-2, 18-20"
2- 1-94,,4.5-1
,,4.5-3—4.5-5
,,4.5-7—4.5-9.1
,,4.5-10—4.5-12
,,4.5-14
6- 1-94,,"App. B, § 3A-2"
6- 7-94,,"10-50,  10-63, 10-64"
8- 2-94,,8-23
9- 6-94,,8.5-2
,,8.5-12
,,8.5-21
,,8.5-24
,,8.5-36—8.5-40
,,"8.5-51, 8.5-52"
9- 6-94,,"App. B, § 5-2"
11- 1-94,,16-71—16-74
12- 6-94,,18-33—18-37
,Rpld,18-38
,,18-39—18-41
,,18-43—18-46
,Rpld,18-47
3- 7-95,,"App. B, § 2-2"
,,"App. B, § 5-2"
5- 2-95,,"App. B, § 2-2"
,,"App. B, § 5-2"
6- 6-95,,3-42
7- 5-95,,9.5-26—9.5-30
9- 5-95,,18-33
,,18-36
,,"18-40, 18-41"
,,18-44
,,18-46
9- 5-95,,21-2
,,"21-9, 21-9.1"
,,21-11
11- 8-95,,21-2
12- 5-95,,13-7.1
2- 6-96,,16-3
3- 5-96,,13-7.2
3-28-96,,"App. B, § 2-2"
,,"App. B, § 5-2"
4- 2-96,,18-30.1
,Rpld,4-3
6-17-96,,7-40
7- 2-96,,"9-2, 9-3"
,,9-9
,,9-14—9-16
,Rpld,9-17
,,9-18—9-20
,Rpld,9-21
,,9-22
,Rpld,9-27—9-31
,,9-34
,Rpld,9-35
,,9-37
,,9-39
,,9-44
,,20-1—20-14
12- 3-96,,3-42(a)(7)—(11)
12- 3-96,Rpld,4.5-1—4.5-14
12- 3-96,,10-2—10-4
,,10-6—10-9
,Rpld,10-9
,as,10-10
,,10-11
,,10-12.1
,,"10-13, 10-14"
,Rpld,10-15—10-17
,Rpld,10-18—10-26
,as,10-15—10-23
,Rnbd,10-27—10-29
,as,10-24—10-26
,,10-27
,,10-41—10-49
,,10-61
,Rpld,10-84—10-89
12- 3-96,,19-14
1- 7-97,,"5-3, 5-4"
,,5-8—5-12
,Rpld,"5-18, 5-19"
,Rpld,5-23
,,5-35—5-38
,Rpld,5-39
,,"5-40, 5-41"
,Rpld,5-44—5-49
,,"5-61, 5-62"
,Rpld,5-65—5-69
,,5-71—5-73
,Rpld,5-75—5-79
,Rpld,5-85—5-95
,Rpld,5-99—5-109
,Rpld,5-109.1—5-109.15
,,5-130
,Rpld,5-131
,,5-138
,Rpld,5-142
,,5-144—5-146
1- 7-97,,16-105—16-118
3- 4-97,Rpld,3-5
,,3-11.1
,,3-13
,,3-17
,,3-20
,,3-24
,,3-26
,,3-45
,,3-53—3-55
,,3-57
5- 6-97,,2-2.1
7- 1-97,,"9.5-36, 9.5-37"
,,"9.5-39, 9.5-40"
8- 5-97,,9.5-38
12- 4-97,,App. B
5- 5-98,,3-42(a)(12)
5- 5-98,,3-42(a)(13)
6- 2-98,Rpld,16-118
7- 7-98,Rpld,9-13
,Added,3-27
7- 7-98,,20-4(c)
10- 6-98,Added,13-28
12- -1-98,,3-40
