0,1,2
Date,Section,Section  this Code
10-19-02,,"Ch. 15, Art. IV"
4- 6-06,,7-1.1
4-18-06,,"App. B, § 9-1004(c)(4)"
4-18-06,Added,"App. B, §§ 9-1013(c)1., (d)1."
5-18-06,,10-12
5-18-06,,15-4.1
8-21-06,,Ch. 8
8-21-06,,"App. B,  §§ 4-12001—4-12006,  4-19001—4-19010"
8-21-06,,App. B-1
9-21-06,,11-3—11-8
,Rpld,11-9
,Rnbd,11-10—11-13.1
,as,11-9—11-13
9-21-06,Added,12-12
10- 5-06,,15-7
11-15-06,,"15-11, 15-12"
12-21-06,,11-31.1
2-13-07,,5-11(c)(1)
2-13-07,,"App. B, §§ 1-1015F.4.,  4-7005D.1.,  6-1006B., C.,  6-1007A.7., 6-1008A.3., 6-2005D., 6-2006A.7., 6-2007A.3., 6-2009G.1., 6-3001, 6-4006B.3., 7-2003A., 9-1004A.1.b., d., D.1.,5."
3-22-07,,Ch. 11.2
4-19-07,Added,2-14
4-19-07,,Ch. 6
4-19-07,Rpld,7-1.1
,Rnbd,"7-1.2, 7-1.3"
,as,"7-1.1, 7-1.2"
,Added,7-5—7-13
4-19-07,,11-3
,Added,11-3.1
,,11-4—11-13
4-19-07,,"15-11, 15-12"
4-19-07,,"App. B,  §§ 1-1020G.4.a., H.1., H.5., 3-2000, 3-6000, 4-2002A., 4-2003E., 4-3006D., 4-9002E., 4-10002E., 4-11000D., 4-11005A.1.a., 4-12002D.,  4-19002D., 5-2000A.1.a., E.3., H.4, 5-5001B.1.c., 2, I"
5-24-07,,1-7.1
5-24-07,,11.2-1—11.2-4
6-14-07,,12-1
,,"App. B, §§ 4-11005C.1., 4-12005C.1.a., 4-13005B.1., 5-5001G.1."
9-20-07,Added,8-29
9-20-07,,11-6
10-18-07,Added,2-15—2-22
10-18-07,,11-31.1
11-15-07,,8-15
11-15-07,,"App. A, § 7-28-6"
11-15-07,,"App. B, §§ 4-2001—  4-2007"
12-13-07,Added,Ch. 14A
1-17-08,,2-5.1
1-17-08,,11-3.1
3-20-08,Added,10-9(a)(6)
3-20-08,,"App. C, § C-9(a)"
4-17-08,Added,"15-11(b)(4),  15-12(b)(4)"
5-15-08,,15-20
5-15-08,,"App. B-1, § 4000.B.7"
,Added,"App. B-1, §§ 6000—6008"
8-21-08,,"App. B, §§ 3-6000, 4-4005, 9-1005"
10- 2-08,Rpld,7-2—7-19
,Added,"7-2, 7-3, 7-5—7-19"
10- 2-08,,8-12
10- 2-08,,12-11
,Added,12-11.1
10- 2-08,Added,Ch. 12.1
10- 2-08,Added,16-9
11- 5-08,Added,3-27
11-11-08,,"6-3, 6-4, 6-11"
11-20-08,,12-11
11-20-08,,App. A
12- 4-08,,"5-11, 5-12"
12-18-08,Added,1-11
,,"App. A, § 3-1"
12-18-08,,15-5.1
12-18-08,,17-8
12-18-08,,"App. B, §§ 3-6000, 4-4005, 9-1005"
1-22-09,,5-11
1-22-09,,15-7
1-22-09,,"App. B, § 1-1011"
2-19-09,,"App. B, § 5-5007"
3-19-09,Added,16.2-2
4-16-09,,11-6
5-21-09,,14-1—14-92
5-21-09,,16.1-1—16.1-40
7-16-09,Rpld,12.1-5
8-20-09,,11-4
8-20-09,,"App. B, §§ 1-1020, 2-1002, 6-2003, 6-2004, 6-2006, 6-2011"
,Dltd,"App. B, § 6-1003"
,Rnbd,"App. B, §§ 6-1004—  6-1015"
,as,"App. B, §§ 6-1003—  6-1014"
8-20-09,,"App. B, §§ 2-1002,"
,,"4-2007, 4-3009, 4-5006,"
,,"4-6006, 4-7007, 4-9000,"
,,"4-9006, 4-10006,"
,,"4-11005, 4-11006,"
,,"4-12005, 4-12006,"
,,"4-13006, 4-15005—"
,,"4-15007, 4-16005—"
,,"4-16008, 4-16012,"
,,"4-17005—4-17008,"
,,"4-17010, 4-18005—"
,,"4-18009, 4-18012,"
,,"4-19005, 4-19006,"
,,"4-19010, 5-2000—"
,,"5-2006, 6-1006, 6-1007,"
,,"6-1010, 6-1011,"
,,"6-2005—6-2009,"
,,"7-2002, 7-2003,"
,,"8-1001—8-1012,"
,,"8-2001, 10-1005"
9-24-09,,"App. A, §§ 5.2, 6.2"
9-24-09,,"App. B, §§ 1-1016, 1-1019, 1-1020"
10-15-09,,1-7.1
10-15-09,Added,1-7.3
10-15-09,Added,App. B-2
11- 4-09,,"App. B, §§ 2-1002, 9-1001—9-1013"
,Dltd,"App. B, § 6-1011"
11-19-09,,12-1
