0,1,2,3
Ordinance  Number,Date,Section,Section  this Code
192A-6,5-26-15,,7-2
,,,7-4(a)(1)
,,Added,7-5(k)
56A-21,5-26-15,Added,15-41
31A-296,6- 9-15,,24-2
,,,24-212
,,Rpld,24-213
31A-297,6- 9-15,,24-7
,,,24-20
,,,24-23
31A-298,6- 9-15,,24-390
,,,24-411
55A-51,6-23-15,,2-4
154A-6,7-14-15,Rpld,16-5
160A-1,10-13-15,Rpld,6-1—6-16
131A-8,10-13-15,Rpld,10-10—10-12
,,Rpld,10-14—10-30
116A-40,10-13-15,Rpld,11-8—11-16
107A-66,10-13-15,Rpld,"20-70, 20-71"
31A-299,10-13-15,,24-2
31A-300,10-13-15,,24-2
,,,24-650
,,,24-666
31A-301,10-13-15,,24-586
,,,24-588—24-592
,,,24-595—24-597
,,,24-599—24-603
16A-30,11-24-15,,12-72
,,Added,12-73—12-79
,,Rnbd,12-78.1
,,as,12-80
16A-31,11-24-15,Rpld,12-130—12-140
,,Added,12-130—12-140
55A-52,11-24-15,Rpld,2-12
56A-22,11-24-15,,15-37
30A-43,3- 8-16,,19-12
55A-53,4-12-16,,2-4(b)
,,,2-5
81A-23,6-14-16,,"4-21, 4-22"
31A-302,6-28-16,,24-493(b)
30A-44,7-26-16,,19-23
30A-45,7-26-16,,19-29(n)
,,,19-36
31A-303,7-26-16,,"24-147, 24-148"
31A-304,9-13-16,,24-16
55A-54,9-13-16,,2-3(b)
183A-9,9-27-16,,"23-2, 23-3"
,,,23-7
,,,"23-9, 23-10"
,,,"23-12, 23-13"
,,,"23-17, 23-18"
116A-41,10-11-16,Rpld,11-25—11-35
30A-46,10-11-16,,19-51(b)
55A-55,10-11-16,,2-11.1
66A-73,10-11-16,,13-40.5(d)
81A-24,10-11-16,,4-10
31A-305,10-11-16,,24-2
,,,24-63
31A-306,10-11-16,,24-42
,,,24-62(b)(2)
,,,24-536.9
,,,24-588(c)
,,,"24-590(a), 24-591"
,,,24-595(a)(4)
,,,24-600(4)
31A-307,11- 8-16,,24-2
31A-308,11- 8-16,,24-2
31A-309,11- 8-16,,24-34
31A-310,11- 8-16,Added,24-49
31A-311,11- 8-16,,24-121—24-127
,,Rnbd,24-128 as 24-128.1
,,Added,24-128
31A-312,11- 8-16,,24-212
,,,24-218
31A-313,11- 8-16,,24-232
,,,24-240
31A-314,11- 8-16,,24-252
,,,24-261
31A-315,11- 8-16,,24-273.2
,,,24-273.11
31A-316,11- 8-16,,24-281
,,,24-286
31A-317,11- 8-16,,24-305
,,,24-310(g)
31A-318,11- 8-16,,24-328
,,,24-329
,,,24-335
31A-319,11- 8-16,,"24-348, 24-349"
,,,24-354
31A-320,11- 8-16,,24-368
,,,24-374
31A-321,11- 8-16,,24-390
,,,24-396
31A-322,11- 8-16,,24-411
31A-323,11- 8-16,,24-411
,,,24-418
31A-324,11- 8-16,,24-436
,,,24-443
31A-325,11- 8-16,,24-461
,,,24-469
31A-326,11- 8-16,,24-493
31A-327,11- 8-16,,24-493
,,,24-490
31A-328,11- 8-16,,24-518
,,,24-521
31A-329,11- 8-16,,24-535.1
31A-330,11- 8-16,,24-535.1
,,,24-535.2
,,,24-535.9
31A-331,11- 8-16,,24-536.4
,,,24-536.7
107A-67,12-13-16,,20-13.8
31A-332,12-13-16,,24-390
31A-333,1-10-17,Rpld,24-65—24-79
,,Added,24-65—24-79
56A-23,6-13-17,,15-36
7A-24,7-11-17,,3-8
31A-334,8- 8-17,Added,24-48
31A-335,8- 8-17,,24-212
31A-336,8- 8-17,,24-348
,,Rpld,24-349
31A-337,9-12-17,,"24-519, 24-520"
,,,24-523
,,Rpld,24-517
66A-74,9-12-17,,13-29
31A-338,1- 9-18,,24-2
,,,24-586—24-603
65A-9,3-13-18,,"22-3, 22-4"
,,,"22-6, 22-7"
,,,22-11
,,,22-13
222,5- 8-18,Added,App. A
7A-25,6-12-18,,3-20(a)
30A-47,6-12-18,,19-15
30A-48,6-12-18,,19-27
,,Added,19-73.1
31A-339,6-12-18,,24-7
,,,24-47
31A-340,6-12-18,Added,24-102
81A-25,6-12-18,,4-8—4-10
,,,4-60
85A-22,6-12-18,,8-5(c)
,,,8-34
107A-68,7-10-18,,20-14(b)
30A-49,8-14-18,,19-27
30A-50,8-14-18,,19-30
31A-341,8-14-20,,24-23
,,Added,"24-50, 24-51"
,,,24-145
31A-342,8-14-18,,24-35
,,,24-151
107A-69,10- 9-18,,12-5(d)
30A-51,3-12-19,,19-19(c)
31A-343,3-12-19,,24-144(c)
,,,"24-147, 24-148"
31A-344,3-12-19,,24-650(2)
154A-7,3-12-19,,16-12
55A-56,4- 9-19,,2-15.1
131A-9,4- 9-19,,"10-4, 10-5"
131A-10,5-14-19,,10-2
,,Added,10-31
7A-26,7- 9-19,,"3-10, 3-20"
,,,3-21
31A-345,8-13-19,,24-111
9A-18,10- 8-19,,"9-7, 9-8"
31A-346,10- 8-19,,24-16
66A-75,10- 8-19,Added,13-27.1
56A-24,11-12-19,,15-5
66A-76,11-12-19,,13-31.1
,,Added,13-31.2
154A-8,1-14-20,,16-22
65A-10,4-14-20,,22-4
183A-10,4-14-20,,23-15
222A-1,4-14-20,,App. A
31A-347,7-14-20,,24-2
31A-348,7-14-20,,24-2
,,,24-122—24-124
,,,24-126—24-128.1
,,,24-212
,,,24-232
,,,24-252
,,,24-273.2
,,,24-281
,,,24-305
,,,"24-328, 24-329"
,,,24-348
,,,24-368
,,,24-390
,,,24-411
,,,24-436
,,,24-461
,,,24-493
,,,24-518
,,,"24-535.1, 24-535.2"
,,,24-536.4
31A-349,7-14-20,,24-518
31A-350,9- 8-20,,24-37
31A-351,9- 8-20,Added,24-47.1
,,,24-232
,,,24-252
,,,24-273.2
,,,24-281
,,,24-305
,,,24-493(a)
55A-57,9- 1-20,Added,2-4.2
56A-25,7-14-20,,15-41
65A-11,7-14-20,,24-4
,,,24-9
66A-77,7-14-20,Added,13-36.1
85A-23,6- 9-20,,8-35
154A-9,9- 8-20,,16-22
156A-12,6- 9-20,,1-13(b)
156A-13,7-14-20,,1-2
56A-26,11-17-20,,15-26
222A-2,6- 9-20,,App. A
31A-352,3- 9-21,,24-493(b)
,,Added,24-497
81A-26,3- 9-21,,4-3
9A-19,5-11-21,Rpld,9-1—9-4
,,Added,9-1—9-3
31A-353,11- 8-16,,24-436
55A-58,5-11-21,Rpld,2-10.1
81A-27,5-11-21,Added,4-17
107A-70,5-11-21,Added,20-72—20-88
183A-11,5-11-21,Added,23-9.1
,,,23-10
131A-11,7-13-21,,10-2
,,,"10-4(a),"
,,,10-7
14A-3,11- 9-21,Rpld,17-8—17-10
31A-354,12-14-21,,24-47.1
,,,24-281
,,,24-368
,,,24-390
,,,24-411
,,,24-436
,,,24-461
,,,24-493
,,,24-518
,,,24-536.4
55A-59,11- 9-21,,2-16.2
