Ordinance Number,Date,Section,Section  this Code
70-1700-44,11-17-70,,18-6
71-1700-45,4-3-71,,17-8
72-1700-47,2-1-72,,17-10
72-1700-48,5-2-72,,24-53
72-1700-49,6-20-72,,25-8
72-1700-50,9-19-72,,14-61
73-1700-52,3-20-73,,26-4
73-1700-53,3-20-73,,"24-11, 24-13"
73-1700-54,5-15-73,,14-72
74-1700-59,2-19-74,,25-1
74-1700-61,4-11-74,,14-117
,,,"14-126—14-129,"
,,,14-132
,,,14-134
,,,14-136
74-1700-62,6-4-74,,14-116
74-1700-63,9-3-74,,24-51
74-1700-64,9-17-74,,22-77
,,,22-78
,,,22-81
74-1700-67,11-8-74,,"22-77, 22-81"
74-1700-68,11-8-74,,22-78
75-1700-68,1-7-75,,2-11
75-1700-69,1-7-75,,17-9
75-1700-70,2-18-75,1,"2-156, 2-157"
,,2,2-156
75-1700-71,3-4-75,,22-16—22-19
75-1700-74,6-3-75,,25-24
75-1700-75,6-4-75,,"22-108, 22-109"
75-1700-76,7-1-75,32-1—32-4,8-1—8-4
,,32-5.1—32-5.3,8-6
,,32-5.4,8-28
,,32-6.1,8-26
,,32-6.2—32-6.4,8-5
,,32-6.5,8-27
,,"32-7.1, 32-7.2",8-30
,,32-7.3,8-31
,,32-7.4,8-9
,,32-8.1—32-8.3,8-7
,,32-8.4,8-29
,,32-9,8-8
,,32-10—32-12.4,8-10—8-15
75-1700-77,8-5-75,,"22-95, 22-96"
75-1700-78,12-16-75,,22-43
76-1700-79,1-1-76,1,22-44—22-47
76-1700-80,1-6-76,3-10,5-19
,,3-11,"5-36, 5-38"
,,3-12,5-38.1
,,3-13,"5-37, 5-39"
,,3-14,5-39
,,3-15,5-42
,,3-17,5-39
,,3-18,5-22
,,3-19,5-21
,,3-20,5-27
,,3-21,5-25
,,,5-26
,,,5-28
,,,5-41
,,,5-63
,,3-22,5-28
,,3-23,5-23
,,3-24,5-20
,,3-25,5-56
,,3-26,"5-56, 5-62"
,,3-27,"5-56, 5-57"
,,3-28,5-56
,,3-29,5-58
,,3-30,5-24
,,3-31—3-33,5-59—5-61
,,3-34,5-55
76-1700-81,3-16-76,,"14-116, 14-117,"
,,,"14-126—14-129,"
,,,"14-132, 14-134,"
,,,14-136
76-1700-82,4-6-76,,18-21—18-23
76-1700-84,8-3-76,,24-35
76-1700-86,8-17-76,,22-26—22-29
,,,"22-30, 22-31"
76-1700-87,8-3-76,,"22-48, 22-50"
76-1700-88,8-17-76,,2-7
76-1700-89,9-7-76,,14-115
76-1700-90,10-19-76,,2-8
76-1700-91,12-21-76,3,2-76
,,10—12,2-72—2-74
,,13,2-6
,,14,2-75
77-1000-93,1-4-77,,3-16—3-20
77-1700-95,2-15-77,,7-18
77-1700-96,2-15-77,5.1—5.5,7-16—7-20
77-1700-97,3-15-77,,25-28—25-32
77-1700-101,5-3-77,1—3,27-16—27-18
,,4,"27-1, 27-19"
77-1700-108,9-6-77,,5-3
,,,"15-1—15-6.1,"
,,,15-8—15-15
77-1700-109,10-4-77,,3-17
77-1700-110,10-20-77,1,"22-45, 22-46"
77-1700-111,10-20-77,1,"22-49, 22-50"
77-1700-112,11-1-77,1,25-8
,,2,25-9
78-1700-113,1-24-78,,24-51.1
78-1700-114,2-7-78,25-40—25-42,22-26—22-29.1
,,25-43,22-31
,,25-44,22-30
78-1700-115,2-28-78,,14-115
78-1700-117,4-11-78,,3-21
78-1700-120,6-6-78,,2-7
78-1700-121,6-6-78,,2-125
78-1700-122,6-20-78,,24-57.1
78-1700-123,6-28-78,,"25-24, 25-25,"
,,,25-28—25-32
78-1700-127,6-6-78,12-1,13.5-1
,,12-2,13.5-2
,,12-3.1,13.5-3
,,12-3.2,13.5-8
,,12-3.3,13.5-3
,,12-4.1—12-4.3,13.5-33
,,"12-4.4, 12-4.5",13.5-9
,,12-4.6—12-4.9,13.5-10
,,"12-4.10.1, 12-4.10.2",13.5-34
,,12-4.11—12-4.15,13.5-35
,,12-4.16—12-4.19,13.5-36
,,12-4.20—12-4.22,13.5-37
,,12-4.23,13.5-12
,,12-5.1—,13.5-48—
,,12-5.5,13.5-52
,,12-5.8—12-5.11,13.5-53
,,12-6.1—,13.5-64—
,,12-6.6,13.5-68
,,12-7.1—,13.5-79—
,,12-7.6,13.5-81
,,"12-8.1, 12-8.2",13.5-92
,,12-8.3,13.5-93
,,12-8.4,13.5-95
,,"12-8.5, 12-8.6",13.5-96
,,12-8.7,13.5-94
,,12-9.1,13.5-121
,,,13.5-124
,,,13.5-126
,,12-9.1.1,13.5-122
,,12-9.1.2,13.5-123
,,12-9.1.3,13.5-125
,,12-9.1.4,13.5-127
,,12-9.2,13.5-107
,,12-9.2.1—,13.5-111—
,,12-9.2.3,13.5-113
,,12-9.2.4,13.5-115
,,12-9.2.5—,13.5-108—
,,12-9.2.7,13.5-110
,,12-9.2.8,13-5.114
,,12-10.1—12-10.7,13.5-7
,,12-10.8,13.5-11
,,12-11—,13.5-15—
,,12-11.8,13.5-17
,,12-12,13.5-14
,,12-13.1—,13.5-18
,,12-13.6,13.5-19
,,12-13.7,13.5-5
,,12-13.8—12-13.11,13.5-20
,,12-13.12,13.5-19
,,,13.5-20
,,"12-14.1, 12-14.2",13.5-21
,,12-14.3,13.5-6
,,12-14.4,13.5-13
,,12-15,13.5-4
78-1700-129,10-3-78,,17-39.1
79-1700-130,2-6-79,,2-142
79-1700-130-A,2-13-79,,Ch. 31
79-1700-131,2-6-79,3-10,5-19
,,3-11,"5-36, 5-38"
,,3-12,5-38.1
,,3-13,"5-37, 5-39"
,,3-14,5-39
,,3-15,5-42
,,3-16,5-40
,,3-17,5-39
,,3-18,5-22
,,3-19,5-21
,,3-20,5-27
,,3-21,"5-25, 5-26,"
,,,"5-41, 5-63"
,,3-22,5-28
,,3-23,"5-8, 5-23"
,,3-24,5-20
,,3-25,5-56
,,3-26,5-62
,,3-27,5-57
,,3-28,5-56
,,3-29,5-58
,,3-30,5-24
,,3-31—3-33,5-59—5-61
,,3-34,5-55
79-1700-132,2-27-79,,"25-24, 25-25,"
,,,25-28—25-32
79-1700-137,1-5-79,,10-3
79-1700-140,7-3-79,,24-50
79-1700-141,8-21-79,,24-50
79-1700-142,8-21-79,,24-62
79-1700-143,8-21-79,,24-62
79-1322(Res.),10-2-79,,21-1
