0,1
Lifeline,Lifeline
Ch. #,
2,Local Advertising
3,QVC
4,"WGN, Chicago, IND Ch. 9"
5,"WRAL, Raleigh, CBS Ch. 5"
6,"WWOR, New York, IND Ch. 9"
7,"WUNP, R. Rapids, PBS Ch. 36"
8,"WRLH, Richmond, IND Ch. 35"
9,"WCVE, Richmond, PBS Ch. 23"
10,"WRDC, Durham, NBC Ch. 28"
11,"WTVD, Raleigh, ABC Ch. 11"
12,"WWBT, Richmond, NBC Ch. 12"
13,"WSET, Lynchburg, ABC Ch. 13"
17,"WTBS, Atlanta, IND Ch. 17"
Basic Tier,Basic Tier
18,MTV
19,TNN
20,The Family Channel
22,A&E
23,Nickelodeon
24,CNN
25,BET
26,The Learning Channel
27,ESPN
28,TNT
29,The Discovery Channel
Premium Services,Premium Services
14,HBO
15,The Movie Channel
16,Showtime
21,Disney
