0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
22642,1- 3-76,,20-32
22650,1-19-76,,"7-51, 7-52"
22671,2- 2-76,,21-144
22672,2- 2-76,1,21-135
,,2,"21-156, 21-175, 21-191"
,,3,"21-141, 21-142, 21-192, 21-193"
,,4,21-176
,,5,21-157
,,6,"21-158, 21-160, 21-162"
,,7,21-138
,,8,21-137
,,"9, 10",21-163
,,11,21-139
,,12,21-140
,,13,21-193
,,14,21-161
,,15,21-143
,,16,21-136
22698,2-17-76,1,10-14
,,2—65,10-17—10-80
,,66,10-15
,,68,10-16
22721,3- 1-76,,32-169
22725,2-23-76,,18-29—18-31
22764,3- 8-76,,7-13
22766,3-15-76,,32-170
22798,3-29-76,"1, 2",32-64
,,3,32-67
,,4,32-68—32-70
,,5,32-71
22805,4- 5-76,,"36-3, 36-116—36-125"
22806,4- 5-76,,36-363  36-365
22830,4-12-76,,30-29
22836,4-12-76,,2-174
22837,4-12-76,,20-32
22856,4-26-76,,26-8
22866,5- 3-76,,21-40.1
22897,5-10-76,,"7-67, 7-106—7-108"
22929,5-17-76,,"20-97, 20-98, 20-100, 20-103"
22931,5-17-76,,2-39
22933,5-17-76,,10-2
22959,6- 7-76,,20-81
22960,6- 1-76,,"2-172, 2-173, 2-175, 2-180"
22961,6- 1-76,,"24-24, 24-25, 24-27—24-30"
22962,6- 1-76,,32-221
22963,6- 1-76,,"24-24, 24-28, 24-29"
22964,6- 1-76,,2-179
23029,6-23-76,,"32-104, 32-122"
23030,6-23-76,,32-169
23032,6-23-76,,32-24
23033,6-23-76,,"30-6, 30-60, 30-62—30-64"
,,1,20-81
,,2,6-28
,,3,"32-113—32-115, 34-114, 34-116, 36-10"
,,12,27-3
23073,7- 6-76,,"2-179, 2-279—2-281, 2-283—2-285, 2-298—2-302"
23075,7-26-76,,2-15
23078,7-12-76,,32-169
23081,7- 6-76,,4-21—4-25
23159,8- 2-76,,2-281
23204,8-23-76,,34-113
23213,8-30-76,,"34-114, 34-115"
23227,9- 7-76,,2-39
23240,9-15-76,,24-26  24-45—24-49
23259,9-27-76,,19-56
23260,10- 4-76,,2-37
23268,9-27-76,,4-21—4-25
23278,10- 4-76,,2-281
23287,10-25-76,,36-4
23357,11- 8-76,,"24-65, 24-70, 24-74"
23359,12- 6-76,,21-96—21-109
23382,12-13-76,,34-129—34-131
23402,12-28-76,,"36-96, 36-97, 36-436"
23409,12-13-76,"Ch. 13.1, §§ 17, 18","2-35, 2-36"
23410,12-13-76,,2-37
23418,1- 4-77,,"7-2, 7-4"
23425,1- 4-77,,36-10
23452,1-24-77,,19-142
23457,1-24-77,,10-16
23458,1-24-77,1,"5-1, 5-22"
,,2,5-16
,,3,"5-17, 5-18"
,,4,"5-3, 5-19, 5-20"
,,5,5-20
,,6,5-21
,,8,5-16
,,9,"5-2, 5-4"
23521,3-14-77,,"32-169, 32-173"
23539,4- 4-77,1,34-14
,,2,34-16
,,3,34-17
,,4,34-39
,,5,"34-40, 34-41"
,,6,34-42
,,7,34-43—34-45
,,8,34-46
,,9,34-20
,,10,34-23
,,11,"34-24, 34-25"
,,13,34-26
,,14,34-27
,,15,34-21
,,16,34-22
,,19,34-15
23540,3-28-70,,"24-24, 24-28, 24-29"
23599,5- 2-77,1,26-43
,,"2, 3","26-44, 26-45"
,,4,26-46
,,5,26-47
,,6,26-48
,,7,26-49
,,8,26-50
,,9,26-51
,,10,26-44
,,11,26-52
,,12,26-53
,,13,26-54
,,14,26-55
,,15,"26-56, 26-57"
,,16,26-58
,,17,26-59
,,18,26-60
,,19,26-61
,,20,26-63
,,21,26-64
,,"22, 23",26-65
,,24,26-66
,,25,26-62
23601,5- 2-77,,26-25
23631,5-23-77,,22-74
23633,5-23-77,,20-99
23703,7-25-77,,36-62
23719,7-11-77,,2-178
23766,8- 8-77,1,"2-263, 2-264"
,,2,2-265
,,3,2-266
,,4,2-268
,,5,2-267
23773,8- 8-77,1,32-84—32-92
23775,8- 8-77,1,"20-26, 20-31—20-33, 20-36"
23776,8- 8-77,1,"32-19, 32-105, 32-106, 32-108, 32-123—32-126"
23777,8- 8-77,1,19-21
,8- 9-77,1,32-4
23782,8-22-77,3(5.01),14-15
,,(5.02),14-18
,,(5.03),14-21
,,(5.04),"14-17, 14-22"
,,(5.05),14-16
,,(5.06),"14-15, 14-19"
,,(5.07),14-20
,,(5.08),14-34—14-41
23796,8-22-77,1,22-35
23819,9-12-77,1,12-4
23825,9-12-77,1,13-15
23830,9-26-77,,11-7
23836,9-26-77,,"32-104, 32-122"
23859,10-10-77,,19-18
23860,10-10-77,1,22-53
,,2,22-17
,,3,22-62
,,4,22-65
23873,10-24-77,2,2-236
23874,10-24-77,1,"2-175, 2-180"
23920,11-28-77,2,17-15—17-20
23968,12-27-77,1,19-81
23976,1- 9-78,,2-122
23979,1- 9-78,,"24-25, 24-27, 24-30"
23996,1-23-78,1,26-12
23999,1-23-78,1,22-14
,,2,22-69
,,3,22-22
24006,1-23-78,2,"24-25, 24-27, 24-30"
24049,2-27-78,1,22-15
,,2,22-35
24090,4- 3-78,1,2-237
24093,4-24-78,,36-2
,,1,"36-67, 36-90"
,,2,36-102
,,3,36-145
,,4,36-2
24161,6-12-78,,19-18
24174,6-12-78,,26-10
24272,8-28-78,,36-138
24273,8-28-78,1,"31-2, 31-6, 31-9"
24311,8-28-78,1,2-238
24312,9- 5-78,,32-169
24321,9- 5-78,,2-39
24323,9- 5-78,,"32-104, 32-122"
24324,9- 5-78,1,17-1
24345,9-25-78,1,21-42
24347,9-25-78,1,2-303
24367,10- 9-78,,24-48
24368,10- 9-78,,32-64
24394,11- 6-78,,"32-88, 32-89"
24401,12- 4-78,,36-554—36-557
24409,12- 4-78,1(3.2),9-16
,,(3.3),"9-17, 9-18"
,,(3.4),9-19
,,(3.5),"9-20, 9-21"
,,(3.6),9-22
,,(3.7),9-23
24428,12- 4-78,1,32-64
24437,12-11-78,"1(Ch. 13.01, § 1)",2-62
,,§ 2,2-61
,,§ 3,2-63
,,§ 4,2-64
,,"§§ 5, 6",2-65
,,"§§ 7, 8",2-66
,,§ 9,2-67
,,§ 10,2-68
,,§ 11,2-69
,,§ 12,2-59
,,§ 13,2-71
,,§ 14,2-72
,,§ 15,2-70
,,§ 16,"2-103, 2-105"
,,§ 17,2-106
,,§ 18,2-104
,,§ 19,2-107
,,"1(Ch. 13.02, § 1)","2-83, 2-87—2-89"
,,§ 2,"2-84, 2-85, 2-108"
,,§ 3,"2-86, 2-90"
,,§ 4,2-108
,,§ 5,2-108—2-113
,,§ 6,2-60
,,§ 7,2-114
24438,12-11-78,1,"2-35, 2-36"
24442,12-11-78,1,"32-86, 32-88, 32-89"
24443,12-11-78,"Ch. 1, § 1",6-79
,,2,6-81
,,3,6-82
,,4,6-80
,,"Ch. 4, § 1",6-7
,,2,6-6
,,3,6-8
,,4,6-10
,,"Ch. 5, § 1",6-93
,,2,6-95
,,3,"6-96, 6-97"
,,4,6-94
,,"Ch. 6, § 1",6-110
,,2,6-111
,,3,6-109
,,4,6-108
24447,12-26-78,1,18-30(a)
24478,1-22-79,,31-39
24480,1- 8-79,1,2-121
24492,1-22-79,"1, 2","2-15, Rules 7, 7A"
24493,1-22-79,1,2-303
24502,2- 5-79,1,17-15—17-20
24512,2- 5-79,1,22-35.1
,,2,22-14
,,3,22-35(a)
,,4,22-51(b)
,,5,"22-54(a), 22-55(a)"
24551,3-12-79,"1, 2","32-151, 32-152"
24558,3-12-79,1,22-15.1
24575,4- 2-79,1,2-297.1
24579,4- 2-79,1,2-239
24585,5- 7-79,1,26-25
,,2,26-10
