0,1
Code of  Virginia  Section,Section this Code
1-13—1-15.1,1-1
2.2-3708.2(A)(3),9-4
3.1-796.66,40-2
13.1-501 et seq.,89-2
"Tit. 15.2, Ch. 11",Charter
"Tit. 15.2, Ch. 25",130-53
"Tit. 15.2, Ch. 49",Charter
,7-2
15.2-1100 et seq.  Charter,15.2-1100 et seq.  Charter
15.2-2210—15.2-2222  25-1,15.2-2210—15.2-2222  25-1
15.2-4900 et seq.  Charter,15.2-4900 et seq.  Charter
15.2-4903,7-1
"Tit. 18.2, Ch. 7, Art. 2  140-1","Tit. 18.2, Ch. 7, Art. 2  140-1"
18.2-27,107-2
18.2-28,107-2
18.2-57,107-1
18.2-96,107-7
18.2-266 et seq.  140-1,18.2-266 et seq.  140-1
18.2-387,107-9
46.1-920,140-6
Tit. 46.2,137-7
,140-2
46.2-711,140-13
46.2-739,140-17
,140-20
46.2-752,142-3
46.2-941,140-20
46.2-1157—46.2-1175.1  140-14,46.2-1157—46.2-1175.1  140-14
46.2-1207,137-6
46.2-1241,140-17
,140-20
46.2-1313,140-1
,140-2
56-594,130-21
Tit. 58.1,89-2
,130-62
"Tit. 58.1, Ch. 12  130-17","Tit. 58.1, Ch. 12  130-17"
,130-18
"Tit. 58.1, Ch. 37  89-2","Tit. 58.1, Ch. 37  89-2"
"Tit. 58.1, Ch. 39  89-5","Tit. 58.1, Ch. 39  89-5"
58.1-1203,130-18
58.1-1204,130-17
58.1-1205,130-16
58.1-1207,130-18
58.1-1211,130-17
,130-18
58.1-2901,130-22
58.1-3230,130-57
58.1-3231 et seq.  130-56,58.1-3231 et seq.  130-56
58.1-3233,130-57
58.1-3233.3,130-58
58.1-3234,130-57
58.1-3235,130-59
58.1-3236,130-57
58.1-3236D,130-60
58.1-3237,130-60
,130-61
58.1-3241,130-61
58.1-3523,130-52
58.1-3709,89-4
58.1-37l4,89-2
58.1-3715,89-2
,89-3
,89-4
58.1-3717,89-3
58.1-3718,89-3
58.1-3728,89-3
58.1-3731,89-3
58.1-3812,130-23
58.1-3813.1,130-22
,130-23
58.1-3814,130-22
58.1-3816.2,130-22
58.1-3906,130-34
58.1-3916,89-3
58.1-3919,130-64
58.1-3980,89-5
62.1-45a,145-11
